"Affected Legal Good ID","Affected Legal Good","Month ID","Month","Value","Value_","Time","date"
1,"Patrimonio",201501,"2015-01",189,189,1422770400000,"Ene-2015"
1,"Patrimonio",201502,"2015-02",238,238,1425189600000,"Feb-2015"
1,"Patrimonio",201503,"2015-03",203,203,1427868000000,"Mar-2015"
1,"Patrimonio",201504,"2015-04",196,196,1430456400000,"Abr-2015"
1,"Patrimonio",201505,"2015-05",212,212,1433134800000,"May-2015"
1,"Patrimonio",201506,"2015-06",190,190,1435726800000,"Jun-2015"
1,"Patrimonio",201507,"2015-07",197,197,1438405200000,"Jul-2015"
1,"Patrimonio",201508,"2015-08",205,205,1441083600000,"Ago-2015"
1,"Patrimonio",201509,"2015-09",208,208,1443675600000,"Sep-2015"
1,"Patrimonio",201510,"2015-10",230,230,1446357600000,"Oct-2015"
1,"Patrimonio",201511,"2015-11",204,204,1448949600000,"Nov-2015"
1,"Patrimonio",201512,"2015-12",168,168,1451628000000,"Dic-2015"
1,"Patrimonio",201601,"2016-01",204,204,1454306400000,"Ene-2016"
1,"Patrimonio",201602,"2016-02",189,189,1456812000000,"Feb-2016"
1,"Patrimonio",201603,"2016-03",189,189,1459490400000,"Mar-2016"
1,"Patrimonio",201604,"2016-04",194,194,1462078800000,"Abr-2016"
1,"Patrimonio",201605,"2016-05",208,208,1464757200000,"May-2016"
1,"Patrimonio",201606,"2016-06",236,236,1467349200000,"Jun-2016"
1,"Patrimonio",201607,"2016-07",219,219,1470027600000,"Jul-2016"
1,"Patrimonio",201608,"2016-08",256,256,1472706000000,"Ago-2016"
1,"Patrimonio",201609,"2016-09",212,212,1475298000000,"Sep-2016"
1,"Patrimonio",201610,"2016-10",232,232,1477980000000,"Oct-2016"
1,"Patrimonio",201611,"2016-11",171,171,1480572000000,"Nov-2016"
1,"Patrimonio",201612,"2016-12",290,290,1483250400000,"Dic-2016"
1,"Patrimonio",201701,"2017-01",270,270,1485928800000,"Ene-2017"
1,"Patrimonio",201702,"2017-02",284,284,1488348000000,"Feb-2017"
1,"Patrimonio",201703,"2017-03",272,272,1491026400000,"Mar-2017"
1,"Patrimonio",201704,"2017-04",289,289,1493614800000,"Abr-2017"
1,"Patrimonio",201705,"2017-05",254,254,1496293200000,"May-2017"
1,"Patrimonio",201706,"2017-06",214,214,1498885200000,"Jun-2017"
1,"Patrimonio",201707,"2017-07",249,249,1501563600000,"Jul-2017"
1,"Patrimonio",201708,"2017-08",301,301,1504242000000,"Ago-2017"
1,"Patrimonio",201709,"2017-09",269,269,1506834000000,"Sep-2017"
1,"Patrimonio",201710,"2017-10",281,281,1509516000000,"Oct-2017"
1,"Patrimonio",201711,"2017-11",307,307,1512108000000,"Nov-2017"
1,"Patrimonio",201712,"2017-12",218,218,1514786400000,"Dic-2017"
1,"Patrimonio",201801,"2018-01",256,256,1517464800000,"Ene-2018"
1,"Patrimonio",201802,"2018-02",305,305,1519884000000,"Feb-2018"
1,"Patrimonio",201803,"2018-03",229,229,1522562400000,"Mar-2018"
1,"Patrimonio",201804,"2018-04",224,224,1525150800000,"Abr-2018"
1,"Patrimonio",201805,"2018-05",254,254,1527829200000,"May-2018"
1,"Patrimonio",201806,"2018-06",273,273,1530421200000,"Jun-2018"
1,"Patrimonio",201807,"2018-07",249,249,1533099600000,"Jul-2018"
1,"Patrimonio",201808,"2018-08",248,248,1535778000000,"Ago-2018"
1,"Patrimonio",201809,"2018-09",222,222,1538370000000,"Sep-2018"
1,"Patrimonio",201810,"2018-10",212,212,1541052000000,"Oct-2018"
1,"Patrimonio",201811,"2018-11",188,188,1543644000000,"Nov-2018"
1,"Patrimonio",201812,"2018-12",245,245,1546322400000,"Dic-2018"
1,"Patrimonio",201901,"2019-01",133,133,1549000800000,"Ene-2019"
1,"Patrimonio",201902,"2019-02",212,212,1551420000000,"Feb-2019"
1,"Patrimonio",201903,"2019-03",197,197,1554098400000,"Mar-2019"
1,"Patrimonio",201904,"2019-04",201,201,1556686800000,"Abr-2019"
1,"Patrimonio",201905,"2019-05",223,223,1559365200000,"May-2019"
1,"Patrimonio",201906,"2019-06",274,274,1561957200000,"Jun-2019"
1,"Patrimonio",201907,"2019-07",212,212,1564635600000,"Jul-2019"
1,"Patrimonio",201908,"2019-08",205,205,1567314000000,"Ago-2019"
1,"Patrimonio",201909,"2019-09",155,155,1569906000000,"Sep-2019"
1,"Patrimonio",201910,"2019-10",211,211,1572588000000,"Oct-2019"
1,"Patrimonio",201911,"2019-11",184,184,1575180000000,"Nov-2019"
1,"Patrimonio",201912,"2019-12",203,203,1577858400000,"Dic-2019"
1,"Patrimonio",202001,"2020-01",238,238,1580536800000,"Ene-2020"
1,"Patrimonio",202002,"2020-02",358,358,1583042400000,"Feb-2020"
1,"Patrimonio",202003,"2020-03",209,209,1585720800000,"Mar-2020"
1,"Patrimonio",202004,"2020-04",167,167,1588309200000,"Abr-2020"
1,"Patrimonio",202005,"2020-05",150,150,1590987600000,"May-2020"
1,"Patrimonio",202006,"2020-06",260,260,1593579600000,"Jun-2020"
1,"Patrimonio",202007,"2020-07",259,259,1596258000000,"Jul-2020"
1,"Patrimonio",202008,"2020-08",253,253,1598936400000,"Ago-2020"
1,"Patrimonio",202009,"2020-09",279,279,1601528400000,"Sep-2020"
1,"Patrimonio",202010,"2020-10",295,295,1604210400000,"Oct-2020"
1,"Patrimonio",202011,"2020-11",239,239,1606802400000,"Nov-2020"
1,"Patrimonio",202012,"2020-12",228,228,1609480800000,"Dic-2020"
1,"Patrimonio",202101,"2021-01",196,196,1612159200000,"Ene-2021"
1,"Patrimonio",202102,"2021-02",217,217,1614578400000,"Feb-2021"
1,"Patrimonio",202103,"2021-03",220,220,1617256800000,"Mar-2021"
1,"Patrimonio",202104,"2021-04",304,304,1619845200000,"Abr-2021"
1,"Patrimonio",202105,"2021-05",204,204,1622523600000,"May-2021"
1,"Patrimonio",202106,"2021-06",239,239,1625115600000,"Jun-2021"
1,"Patrimonio",202107,"2021-07",178,178,1627794000000,"Jul-2021"
1,"Patrimonio",202108,"2021-08",238,238,1630472400000,"Ago-2021"
1,"Patrimonio",202109,"2021-09",159,159,1633064400000,"Sep-2021"
1,"Patrimonio",202110,"2021-10",227,227,1635746400000,"Oct-2021"
1,"Patrimonio",202111,"2021-11",304,304,1638338400000,"Nov-2021"
1,"Patrimonio",202112,"2021-12",367,367,1641016800000,"Dic-2021"
1,"Patrimonio",202201,"2022-01",346,346,1643695200000,"Ene-2022"
1,"Patrimonio",202202,"2022-02",213,213,1646114400000,"Feb-2022"
1,"Patrimonio",202203,"2022-03",235,235,1648792800000,"Mar-2022"
1,"Patrimonio",202204,"2022-04",219,219,1651381200000,"Abr-2022"
1,"Patrimonio",202205,"2022-05",218,218,1654059600000,"May-2022"
1,"Patrimonio",202206,"2022-06",215,215,1656651600000,"Jun-2022"
1,"Patrimonio",202207,"2022-07",201,201,1659330000000,"Jul-2022"
1,"Patrimonio",202208,"2022-08",261,261,1662008400000,"Ago-2022"
1,"Patrimonio",202209,"2022-09",299,299,1664600400000,"Sep-2022"
1,"Patrimonio",202210,"2022-10",242,242,1667282400000,"Oct-2022"
1,"Patrimonio",202211,"2022-11",259,259,1669874400000,"Nov-2022"
1,"Patrimonio",202212,"2022-12",242,242,1672552800000,"Dic-2022"
2,"Familia",201501,"2015-01",143,143,1422770400000,"Ene-2015"
2,"Familia",201502,"2015-02",188,188,1425189600000,"Feb-2015"
2,"Familia",201503,"2015-03",173,173,1427868000000,"Mar-2015"
2,"Familia",201504,"2015-04",177,177,1430456400000,"Abr-2015"
2,"Familia",201505,"2015-05",264,264,1433134800000,"May-2015"
