"Affected Legal Good ID","Affected Legal Good","Month ID","Month","Value","Value_","Time","date"
1,"Patrimonio",201501,"2015-01",83,83,1422770400000,"Ene-2015"
1,"Patrimonio",201502,"2015-02",45,45,1425189600000,"Feb-2015"
1,"Patrimonio",201503,"2015-03",47,47,1427868000000,"Mar-2015"
1,"Patrimonio",201504,"2015-04",47,47,1430456400000,"Abr-2015"
1,"Patrimonio",201505,"2015-05",51,51,1433134800000,"May-2015"
1,"Patrimonio",201506,"2015-06",43,43,1435726800000,"Jun-2015"
1,"Patrimonio",201507,"2015-07",80,80,1438405200000,"Jul-2015"
1,"Patrimonio",201508,"2015-08",69,69,1441083600000,"Ago-2015"
1,"Patrimonio",201509,"2015-09",61,61,1443675600000,"Sep-2015"
1,"Patrimonio",201510,"2015-10",77,77,1446357600000,"Oct-2015"
1,"Patrimonio",201511,"2015-11",56,56,1448949600000,"Nov-2015"
1,"Patrimonio",201512,"2015-12",78,78,1451628000000,"Dic-2015"
1,"Patrimonio",201601,"2016-01",43,43,1454306400000,"Ene-2016"
1,"Patrimonio",201602,"2016-02",58,58,1456812000000,"Feb-2016"
1,"Patrimonio",201603,"2016-03",51,51,1459490400000,"Mar-2016"
1,"Patrimonio",201604,"2016-04",93,93,1462078800000,"Abr-2016"
1,"Patrimonio",201605,"2016-05",73,73,1464757200000,"May-2016"
1,"Patrimonio",201606,"2016-06",89,89,1467349200000,"Jun-2016"
1,"Patrimonio",201607,"2016-07",85,85,1470027600000,"Jul-2016"
1,"Patrimonio",201608,"2016-08",103,103,1472706000000,"Ago-2016"
1,"Patrimonio",201609,"2016-09",89,89,1475298000000,"Sep-2016"
1,"Patrimonio",201610,"2016-10",107,107,1477980000000,"Oct-2016"
1,"Patrimonio",201611,"2016-11",122,122,1480572000000,"Nov-2016"
1,"Patrimonio",201612,"2016-12",105,105,1483250400000,"Dic-2016"
1,"Patrimonio",201701,"2017-01",127,127,1485928800000,"Ene-2017"
1,"Patrimonio",201702,"2017-02",123,123,1488348000000,"Feb-2017"
1,"Patrimonio",201703,"2017-03",152,152,1491026400000,"Mar-2017"
1,"Patrimonio",201704,"2017-04",120,120,1493614800000,"Abr-2017"
1,"Patrimonio",201705,"2017-05",144,144,1496293200000,"May-2017"
1,"Patrimonio",201706,"2017-06",139,139,1498885200000,"Jun-2017"
1,"Patrimonio",201707,"2017-07",133,133,1501563600000,"Jul-2017"
1,"Patrimonio",201708,"2017-08",152,152,1504242000000,"Ago-2017"
1,"Patrimonio",201709,"2017-09",111,111,1506834000000,"Sep-2017"
1,"Patrimonio",201710,"2017-10",143,143,1509516000000,"Oct-2017"
1,"Patrimonio",201711,"2017-11",112,112,1512108000000,"Nov-2017"
1,"Patrimonio",201712,"2017-12",114,114,1514786400000,"Dic-2017"
1,"Patrimonio",201801,"2018-01",120,120,1517464800000,"Ene-2018"
1,"Patrimonio",201802,"2018-02",143,143,1519884000000,"Feb-2018"
1,"Patrimonio",201803,"2018-03",148,148,1522562400000,"Mar-2018"
1,"Patrimonio",201804,"2018-04",122,122,1525150800000,"Abr-2018"
1,"Patrimonio",201805,"2018-05",160,160,1527829200000,"May-2018"
1,"Patrimonio",201806,"2018-06",166,166,1530421200000,"Jun-2018"
1,"Patrimonio",201807,"2018-07",137,137,1533099600000,"Jul-2018"
1,"Patrimonio",201808,"2018-08",176,176,1535778000000,"Ago-2018"
1,"Patrimonio",201809,"2018-09",190,190,1538370000000,"Sep-2018"
1,"Patrimonio",201810,"2018-10",174,174,1541052000000,"Oct-2018"
1,"Patrimonio",201811,"2018-11",140,140,1543644000000,"Nov-2018"
