"Affected Legal Good ID","Affected Legal Good","Month ID","Month","Value","Value_","Time","date"
1,"Patrimonio",201501,"2015-01",311,311,1422770400000,"Ene-2015"
1,"Patrimonio",201502,"2015-02",307,307,1425189600000,"Feb-2015"
1,"Patrimonio",201503,"2015-03",280,280,1427868000000,"Mar-2015"
1,"Patrimonio",201504,"2015-04",272,272,1430456400000,"Abr-2015"
1,"Patrimonio",201505,"2015-05",284,284,1433134800000,"May-2015"
1,"Patrimonio",201506,"2015-06",318,318,1435726800000,"Jun-2015"
1,"Patrimonio",201507,"2015-07",333,333,1438405200000,"Jul-2015"
1,"Patrimonio",201508,"2015-08",335,335,1441083600000,"Ago-2015"
1,"Patrimonio",201509,"2015-09",397,397,1443675600000,"Sep-2015"
1,"Patrimonio",201510,"2015-10",406,406,1446357600000,"Oct-2015"
1,"Patrimonio",201511,"2015-11",323,323,1448949600000,"Nov-2015"
1,"Patrimonio",201512,"2015-12",301,301,1451628000000,"Dic-2015"
1,"Patrimonio",201601,"2016-01",240,240,1454306400000,"Ene-2016"
1,"Patrimonio",201602,"2016-02",287,287,1456812000000,"Feb-2016"
1,"Patrimonio",201603,"2016-03",369,369,1459490400000,"Mar-2016"
1,"Patrimonio",201604,"2016-04",385,385,1462078800000,"Abr-2016"
1,"Patrimonio",201605,"2016-05",330,330,1464757200000,"May-2016"
1,"Patrimonio",201606,"2016-06",455,455,1467349200000,"Jun-2016"
1,"Patrimonio",201607,"2016-07",395,395,1470027600000,"Jul-2016"
1,"Patrimonio",201608,"2016-08",446,446,1472706000000,"Ago-2016"
1,"Patrimonio",201609,"2016-09",353,353,1475298000000,"Sep-2016"
1,"Patrimonio",201610,"2016-10",431,431,1477980000000,"Oct-2016"
1,"Patrimonio",201611,"2016-11",485,485,1480572000000,"Nov-2016"
1,"Patrimonio",201612,"2016-12",424,424,1483250400000,"Dic-2016"
1,"Patrimonio",201701,"2017-01",393,393,1485928800000,"Ene-2017"
1,"Patrimonio",201702,"2017-02",327,327,1488348000000,"Feb-2017"
1,"Patrimonio",201703,"2017-03",378,378,1491026400000,"Mar-2017"
1,"Patrimonio",201704,"2017-04",356,356,1493614800000,"Abr-2017"
1,"Patrimonio",201705,"2017-05",369,369,1496293200000,"May-2017"
1,"Patrimonio",201706,"2017-06",340,340,1498885200000,"Jun-2017"
1,"Patrimonio",201707,"2017-07",318,318,1501563600000,"Jul-2017"
1,"Patrimonio",201708,"2017-08",386,386,1504242000000,"Ago-2017"
1,"Patrimonio",201709,"2017-09",408,408,1506834000000,"Sep-2017"
1,"Patrimonio",201710,"2017-10",392,392,1509516000000,"Oct-2017"
1,"Patrimonio",201711,"2017-11",341,341,1512108000000,"Nov-2017"
1,"Patrimonio",201712,"2017-12",274,274,1514786400000,"Dic-2017"
1,"Patrimonio",201801,"2018-01",292,292,1517464800000,"Ene-2018"
1,"Patrimonio",201802,"2018-02",257,257,1519884000000,"Feb-2018"
1,"Patrimonio",201803,"2018-03",348,348,1522562400000,"Mar-2018"
1,"Patrimonio",201804,"2018-04",283,283,1525150800000,"Abr-2018"
1,"Patrimonio",201805,"2018-05",292,292,1527829200000,"May-2018"
