"Affected Legal Good ID","Affected Legal Good","Month ID","Month","Value","Value_","Time","date"
1,"Patrimonio",201501,"2015-01",19,19,1422770400000,"Ene-2015"
1,"Patrimonio",201502,"2015-02",9,9,1425189600000,"Feb-2015"
1,"Patrimonio",201503,"2015-03",14,14,1427868000000,"Mar-2015"
1,"Patrimonio",201504,"2015-04",20,20,1430456400000,"Abr-2015"
1,"Patrimonio",201505,"2015-05",18,18,1433134800000,"May-2015"
1,"Patrimonio",201506,"2015-06",23,23,1435726800000,"Jun-2015"
1,"Patrimonio",201507,"2015-07",18,18,1438405200000,"Jul-2015"
1,"Patrimonio",201508,"2015-08",22,22,1441083600000,"Ago-2015"
1,"Patrimonio",201509,"2015-09",24,24,1443675600000,"Sep-2015"
1,"Patrimonio",201510,"2015-10",20,20,1446357600000,"Oct-2015"
1,"Patrimonio",201511,"2015-11",16,16,1448949600000,"Nov-2015"
1,"Patrimonio",201512,"2015-12",14,14,1451628000000,"Dic-2015"
1,"Patrimonio",201601,"2016-01",19,19,1454306400000,"Ene-2016"
1,"Patrimonio",201602,"2016-02",18,18,1456812000000,"Feb-2016"
1,"Patrimonio",201603,"2016-03",22,22,1459490400000,"Mar-2016"
1,"Patrimonio",201604,"2016-04",28,28,1462078800000,"Abr-2016"
1,"Patrimonio",201605,"2016-05",25,25,1464757200000,"May-2016"
1,"Patrimonio",201606,"2016-06",55,55,1467349200000,"Jun-2016"
1,"Patrimonio",201607,"2016-07",91,91,1470027600000,"Jul-2016"
1,"Patrimonio",201608,"2016-08",56,56,1472706000000,"Ago-2016"
1,"Patrimonio",201609,"2016-09",77,77,1475298000000,"Sep-2016"
1,"Patrimonio",201610,"2016-10",57,57,1477980000000,"Oct-2016"
1,"Patrimonio",201611,"2016-11",63,63,1480572000000,"Nov-2016"
1,"Patrimonio",201612,"2016-12",37,37,1483250400000,"Dic-2016"
1,"Patrimonio",201701,"2017-01",62,62,1485928800000,"Ene-2017"
1,"Patrimonio",201702,"2017-02",45,45,1488348000000,"Feb-2017"
1,"Patrimonio",201703,"2017-03",55,55,1491026400000,"Mar-2017"
1,"Patrimonio",201704,"2017-04",41,41,1493614800000,"Abr-2017"
1,"Patrimonio",201705,"2017-05",21,21,1496293200000,"May-2017"
1,"Patrimonio",201706,"2017-06",24,24,1498885200000,"Jun-2017"
1,"Patrimonio",201707,"2017-07",30,30,1501563600000,"Jul-2017"
1,"Patrimonio",201708,"2017-08",26,26,1504242000000,"Ago-2017"
1,"Patrimonio",201709,"2017-09",28,28,1506834000000,"Sep-2017"
1,"Patrimonio",201710,"2017-10",28,28,1509516000000,"Oct-2017"
1,"Patrimonio",201711,"2017-11",20,20,1512108000000,"Nov-2017"
1,"Patrimonio",201712,"2017-12",10,10,1514786400000,"Dic-2017"
1,"Patrimonio",201801,"2018-01",24,24,1517464800000,"Ene-2018"
1,"Patrimonio",201802,"2018-02",19,19,1519884000000,"Feb-2018"
1,"Patrimonio",201803,"2018-03",24,24,1522562400000,"Mar-2018"
1,"Patrimonio",201804,"2018-04",28,28,1525150800000,"Abr-2018"
1,"Patrimonio",201805,"2018-05",34,34,1527829200000,"May-2018"
1,"Patrimonio",201806,"2018-06",31,31,1530421200000,"Jun-2018"
1,"Patrimonio",201807,"2018-07",25,25,1533099600000,"Jul-2018"
1,"Patrimonio",201808,"2018-08",30,30,1535778000000,"Ago-2018"
1,"Patrimonio",201809,"2018-09",31,31,1538370000000,"Sep-2018"
1,"Patrimonio",201810,"2018-10",23,23,1541052000000,"Oct-2018"
1,"Patrimonio",201811,"2018-11",33,33,1543644000000,"Nov-2018"
1,"Patrimonio",201812,"2018-12",24,24,1546322400000,"Dic-2018"
