Affected Legal Good,Month,City
Patrimonio,2015-01,Apodaca
Patrimonio,2015-02,Apodaca
Patrimonio,2015-03,Apodaca
Patrimonio,2015-04,Apodaca
Patrimonio,2015-05,Apodaca
Patrimonio,2015-06,Apodaca
Patrimonio,2015-07,Apodaca
Patrimonio,2015-08,Apodaca
Patrimonio,2015-09,Apodaca
Patrimonio,2015-10,Apodaca
Patrimonio,2015-11,Apodaca
Patrimonio,2015-12,Apodaca
Patrimonio,2016-01,Apodaca
Patrimonio,2016-02,Apodaca
Patrimonio,2016-03,Apodaca
Patrimonio,2016-04,Apodaca
Patrimonio,2016-05,Apodaca
Patrimonio,2016-06,Apodaca
Patrimonio,2016-07,Apodaca
Patrimonio,2016-08,Apodaca
Patrimonio,2016-09,Apodaca
Patrimonio,2016-10,Apodaca
Patrimonio,2016-11,Apodaca
Patrimonio,2016-12,Apodaca
Patrimonio,2017-01,Apodaca
Patrimonio,2017-02,Apodaca
Patrimonio,2017-03,Apodaca
Patrimonio,2017-04,Apodaca
Patrimonio,2017-05,Apodaca
Patrimonio,2017-06,Apodaca
Patrimonio,2017-07,Apodaca
Patrimonio,2017-08,Apodaca
Patrimonio,2017-09,Apodaca
Patrimonio,2017-10,Apodaca
Patrimonio,2017-11,Apodaca
Patrimonio,2017-12,Apodaca
Patrimonio,2018-01,Apodaca
Patrimonio,2018-02,Apodaca
Patrimonio,2018-03,Apodaca
Patrimonio,2018-04,Apodaca
Patrimonio,2018-05,Apodaca
Patrimonio,2018-06,Apodaca
Patrimonio,2018-07,Apodaca
Patrimonio,2018-08,Apodaca
Patrimonio,2018-09,Apodaca
Patrimonio,2018-10,Apodaca
Patrimonio,2018-11,Apodaca
Patrimonio,2018-12,Apodaca
Patrimonio,2019-01,Apodaca
Patrimonio,2019-02,Apodaca
Patrimonio,2019-03,Apodaca
Patrimonio,2019-04,Apodaca
Patrimonio,2019-05,Apodaca
Patrimonio,2019-06,Apodaca
Patrimonio,2019-07,Apodaca
Patrimonio,2019-08,Apodaca
Patrimonio,2019-09,Apodaca
Patrimonio,2019-10,Apodaca
Patrimonio,2019-11,Apodaca
Patrimonio,2019-12,Apodaca
Patrimonio,2020-01,Apodaca
Patrimonio,2020-02,Apodaca
Patrimonio,2020-03,Apodaca
Patrimonio,2020-04,Apodaca
Patrimonio,2020-05,Apodaca
Patrimonio,2020-06,Apodaca
Patrimonio,2020-07,Apodaca
Patrimonio,2020-08,Apodaca
Patrimonio,2020-09,Apodaca
Patrimonio,2020-10,Apodaca
Patrimonio,2020-11,Apodaca
Patrimonio,2020-12,Apodaca
Patrimonio,2021-01,Apodaca
Patrimonio,2021-02,Apodaca
Patrimonio,2021-03,Apodaca
Patrimonio,2021-04,Apodaca
Patrimonio,2021-05,Apodaca
Patrimonio,2021-06,Apodaca
Patrimonio,2021-07,Apodaca
Patrimonio,2021-08,Apodaca
Patrimonio,2021-09,Apodaca
Patrimonio,2021-10,Apodaca
Patrimonio,2021-11,Apodaca
Patrimonio,2021-12,Apodaca
Patrimonio,2022-01,Apodaca
Patrimonio,2022-02,Apodaca
Patrimonio,2022-03,Apodaca
Patrimonio,2022-04,Apodaca
Patrimonio,2022-05,Apodaca
Patrimonio,2022-06,Apodaca
Patrimonio,2022-07,Apodaca
Patrimonio,2022-08,Apodaca
Patrimonio,2022-09,Apodaca
Patrimonio,2022-10,Apodaca
Patrimonio,2022-11,Apodaca
Patrimonio,2022-12,Apodaca
Familia,2015-01,Apodaca
Familia,2015-02,Apodaca
Familia,2015-03,Apodaca
Familia,2015-04,Apodaca
Familia,2015-05,Apodaca
Familia,2015-06,Apodaca
Familia,2015-07,Apodaca
Familia,2015-08,Apodaca
Familia,2015-09,Apodaca
