 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
142,2022,ENERO,2022-01-02,DOMINGO,23:17:00,ESTRELLAMIENTO,CODE,LLAMADA AL 911,COLONIA,HACIENDA DEL SOL,CALLE,HACIENDA DEL SABINO Y HACIENDA LAS ARBOLEDAS,"25.791215849047237, -100.5636848888823",
574,2022,ENERO,2022-01-04,MARTES,11:38:00,ESTRELLAMIENTO,FINIQUITADO,LLAMADA AL 911,COLONIA,REAL DE LINCOLN,CALLE,NERVA Y OTON,"25.81123944195228, -100.5456749901244",
523,2022,ENERO,2022-01-05,MIERCOLES,14:58:00,DIVERSO,DAÑOS,LLAMADA AL 911,COLONIA,LAS BRISAS RESIDENCIAL,CARRETERA,CARR. ICAMOLE Y BRISAS,"25.82707680072638, -100.59127396273385",
444,2022,ENERO,2022-01-08,SABADO,21:25:00,ALCANCE,EN TRAMITE,LLAMADA AL 911,COLONIA,PRIVADAS OASIS,AVENIDA,MORELOS Y MONTERREY,"25.812205191705683, -100.61495477252375",
384,2022,ENERO,2022-01-09,DOMINGO,11:03:00,ESTRELLAMIENTO,FINIQUITADO,LLAMADA AL 911,COLONIA,LAS ARBOLEDAS,AVENIDA,HEBERTO CASTILLO Y SOR JUANA INES,"25.79622326914663, -100.58493807460621",
334,2022,ENERO,2022-01-09,DOMINGO,05:59:00,ESTRELLAMIENTO,DAÑOS,LLAMADA AL 911,COLONIA,LAS ARBOLEDAS,AVENIDA,HEBERTO CASTILLO Y SOR JUANA INES,"25.79614349927008, -100.58481299371952",
316,2022,ENERO,2022-01-09,DOMINGO,11:17:00,VOLCADURA,DAÑOS,LLAMADA AL 911,COLONIA,LA RESERVA,AVENIDA,PROL.RUIZ CORTINES Y LA RESERVA,"25.77482141833579, -100.44156159339249",
124,2022,ENERO,2022-01-09,DOMINGO,22:01:00,LATERAL,EN TRAMITE,LLAMADA AL 911,COLONIA,SIERRA REAL,AVENIDA,SIERRA REAL Y SIERRA HERMOSA,"25.787118074341628, -100.58268059774954",
276,2022,ENERO,2022-01-10,LUNES,22:30:00,ESTRELLAMIENTO,EN TRAMITE,LLAMADA AL 911,COLONIA,SIERRA REAL,AVENIDA,SIERRA REAL Y PASEO DE LAS TORRES,"25.779909722420626, -100.58785072492967",
575,2022,ENERO,2022-01-10,LUNES,16:06:00,LATERAL,FINIQUITADO,LLAMADA AL 911,COLONIA,LOMAS JARDINES,AVENIDA,LINCOLN Y JARDIN DE LAS LOMAS,"25.775007730757707, -100.43239067409834",
390,2022,ENERO,2022-01-11,MARTES,10:33:00,ESTRELLAMIENTO,DAÑOS,LLAMADA AL 911,COLONIA,LAS BRISAS RESIDENCIAL,CALLE,CALLE 49 Y CALLE 14,"25.832102995774, -100.58956595922362",
576,2022,ENERO,2022-01-11,MARTES,14:31:00,DIVERSO,DAÑOS,LLAMADA AL 911,COLONIA,LOS PARQUES,AVENIDA,DEL ROBLE Y LINCOLN,"25.784966055378057, -100.47547906082458",
173,2022,ENERO,2022-01-11,MARTES,21:41:00,LATERAL,FINIQUITADO,LLAMADA AL 911,COLONIA,BOSQUE DE LAS LOMAS,AVENIDA,PASEO DE LOS LEONES Y LAS LOMAS,"25.754747551168084, -100.43708981850962",
542,2022,ENERO,2022-01-13,JUEVES,11:16:00,ESTRELLAMIENTO,DAÑOS,LLAMADA AL 911,COLONIA,VALLE DE LINCOLN,AVENIDA,LINCOLN FRENTE A ELEKTRA,"25.788002968278818, -100.48901275794422",
96,2022,ENERO,2022-01-14,VIERNES,18:46:00,ALCANCE,EN TRAMITE,LLAMADA AL 911,COLONIA,LA CRUZ,AVENIDA,JUAREZ Y PROL. HIDALGO,"25.81200922112623, -100.59748682643095",
339,2022,ENERO,2022-01-14,VIERNES,17:24:00,CRUCERO,EN TRAMITE,LLAMADA AL 911,COLONIA,PRADERAS,CALLE,PRADERAS DE HIDALGO  PRADERAS DE GARCIA,"25.77896416929273, -100.59139475068419",
