FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
16265,2021,ENERO,2021-01-01,VIERNES,12:34:00,CRUCERO/PROYECCION,PERITAJES,911,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y BERNARDO REYES,"25.755949, -100.296884"
18200,2021,ENERO,2021-01-01,VIERNES,09:50:00,LATERAL,PERITAJES,RUTINA,COLONIA,PRADOS DE SANTO DOMINGO,AVENIDA,SANTO DOMINGO Y LAS PALMAS,"25.75217, -100.263213"
7543,2021,ENERO,2021-01-01,VIERNES,05:45:00,ESTERLLAMIENTO,PERITAJES,RUTINA,COLONIA,VILLA UNIVERSIDAD,AVENIDA,BARRAGAN Y UNIV DE AUTONOMA DE NL,"25.747033, -100.310581"
17795,2021,ENERO,2021-01-01,VIERNES,16:34:00,ESTERLLAMIENTO,FINIQUITADO,911,COLONIA,SANTA MARIA,CALLE,ANT CAM A STO DOM Y ANACLETO GZZ,"25.754126, -100.282309"
17887,2021,ENERO,2021-01-02,SÁBADO,18:58:00,VOLCADURA,PERITAJES,RUTINA,COLONIA,INDUSTRIAL LOS PARQUES,AVENIDA,LOPEZ MATEOS Y ORION,"25.741618, -100.235863"
16187,2021,ENERO,2021-01-02,SÁBADO,11:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,GUSTAVO DIAZ ORDAZ,CALLE,GUSTAVO DIAZ ORDAZ  Y LOPEZ MATEOS,"25.714986, -100.272138"
17934,2021,ENERO,2021-01-02,SÁBADO,16:35:00,DIVERSO,PERITAJES,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ Y FRAY LUIS DE LEON,"25.730775, -100.309218"
17814,2021,ENERO,2021-01-02,SÁBADO,14:33:00,ALCANCE,FINIQUITADO,RUTINA,RESIDENCIAL,RESIDENCIAL ANAHUAC,AVENIDA,BARRAGAN Y TORRES DE FALCON,"25.746706, -100.315238"
16266,2021,ENERO,2021-01-03,DOMINGO,11:05:00,ESTERLLAMIENTO,PERITAJES,RUTINA,COLONIA,CASA BELLA,AVENIDA,SENDERO  Y UNIVERSIDAD,"25.767392, -100.292059"
12219,2021,ENERO,2021-01-03,DOMINGO,07:00:00,CRUCERO,FINIQUITADO,911,COLONIA,CUAUHTEMOC,AVENIDA,REP. MEX Y DE LA JUVENTUD,"25.729749, -100.288841"
17491,2021,ENERO,2021-01-03,DOMINGO,16:30:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,EL ROBLE,CALLE,15 DE AGOSTO Y 18 DE DICIEMBRE,"25.742755, -100.306665"
17089,2021,ENERO,2021-01-04,LUNES,19:22:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,VILLA UNIVERSIDAD,AVENIDA,UNIVERSIDAD LABASTIDA Y FRA BARTOLOME,"25.746358, -100.302583"
10440,2021,ENERO,2021-01-04,LUNES,19:13:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,POTRERO ANAHUAC,AVENIDA,SANTO DOMINGO Y LAS PUENTES,"25.753183, -100.269314"
17515,2021,ENERO,2021-01-04,LUNES,11:59:00,ALCANCE CON HUIDA,PERITAJES,C4,COLONIA,RINCON DE LAS PUENTES,AVENIDA,REPUBLICA MEXICANA Y KANSAS,"25.745862, -100.283558"
17831,2021,ENERO,2021-01-04,LUNES,16:06:00,LATERAL,FINIQUITADO,911,COLONIA,TALAVERNA C.R.O.C.,AVENIDA,MIGUEL ALEMAN Y CALZADA UNION,"25.714699, -100.219458"
16641,2021,ENERO,2021-01-04,LUNES,14:27:00,CRUCERO,FINIQUITADO,RUTINA,COLONIA,VALLE DEL MEZQUITAL,AVENIDA,LOPEZ MATEOS Y SANTA ROSA,"25.739607, -100.239361"
17492,2021,ENERO,2021-01-04,LUNES,07:34:00,ESTRELLAMIENTO,PERITAJES,911,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ Y FRAY LUIS DE LEON,"25.730775, -100.309218"
17816,2021,ENERO,2021-01-04,LUNES,11:18:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,PASEO DE LOS ANDES,AVENIDA,DIEGO DIAZ Y CORDILLERA,"25.737394, -100.268338"
17979,2021,ENERO,2021-01-05,MARTES,18:00:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y SAN NICOLAS,"25.722816, -100.293582"
17594,2021,ENERO,2021-01-05,MARTES,15:48:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y MUNICH,"25.728658, -100.301883"
17978,2021,ENERO,2021-01-05,MARTES,14:51:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y  MUNICH,"25.728658, -100.301883"
17367,2021,ENERO,2021-01-05,MARTES,16:57:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VALLE DEL MEZQUITAL,AVENIDA,LOPEZ MATEOS Y SANTA ROSA,"25.739607, -100.239361"
17935,2021,ENERO,2021-01-05,MARTES,09:06:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,LOPEZ MATEOS Y ANGELES,"25.70814, -100.281542"
17516,2021,ENERO,2021-01-06,MIÉRCOLES,10:38:00,LATERAL/ESTRELLAMIENTO MULTIPLE,FINIQUITADO,RUTINA,RESIDENCIAL,TABACHINES,AVENIDA,UNIVERSIDAD Y LERDO DE TEJADA,"25.759318, -100.306114"
17892,2021,ENERO,2021-01-06,MIÉRCOLES,09:03:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VALLE SANTO DOMINGO,CALLE,PASCACIO LUIS DE LETONA Y DIEGO DIAZ,"25.746214, -100.259922"
15811,2021,ENERO,2021-01-06,MIÉRCOLES,13:05:00,REVERSA,FINIQUITADO,911,COLONIA,COLONIAL LAGRANGE,AVENIDA,LOPEZ MATEOS Y ROBERTO G SADA,"25.718868, -100.266343"
10824,2021,ENERO,2021-01-06,MIÉRCOLES,08:47:00,ALCANCE,PERITAJES,RUTINA,RESIDENCIAL,TORRES DE SANTO DOMINGO,CALLE,LIRIO Y ENRIQUE RECIO,"25.738551, -100.253119"
