 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
2,2021,Abril,2021-04-01,Jueves,07:30:00,Lateral,Invasión de carril,C4,Colonia,Sin nombre,Avenida,Industriales del pte,"25.684941011595306, -100.48494146707206",
10,2021,Abril,2021-04-02,Viernes,11:15:00,Diverso,Distraccion,C4,Colonia,Provivienda del poniete 4 sector,Calle,Riva palacio,"25.687153064808076, -100.43201750557957",
22,2021,Abril,2021-04-04,Domingo,06:36:00,Estrellamiento,Exceso de velocidad,C4,Colonia,Los treviño,Boulevard,Diaz ordaz,"25.674518502329725, -100.42811199995027",
23,2021,Abril,2021-04-04,Domingo,08:40:00,Lateral,Invasión de carril,C4,Colonia,La aurora,Calle,Mar rojo,"25.674226802877467, -100.45403965169696",
26,2021,Abril,2021-04-04,Domingo,08:50:00,Lateral,Invasión de carril,C4,Colonia,Los treviño,Boulevard,Diaz ordaz,"25.674484031622, -100.43520199276509",
31,2021,Abril,2021-04-05,Lunes,08:05:00,Diverso,No respetó semáforo,C4,Colonia,Sin nombre,Carretera,Monterrey -saltillo,"25.685289380328264, -100.48482627306761",
32,2021,Abril,2021-04-05,Lunes,16:20:00,Diverso,Distraccion,C4,Colonia,Sin nombre,Avenida,Manuel j clouthier,"25.68422505775743, -100.43685673335604",
34,2021,Abril,2021-04-05,Lunes,18:10:00,Alcance,No guardó distancia,C4,Colonia,Sin nombre,Carretera,Villa de Garcia,"25.703476368100674, -100.51687075074496",
38,2021,Abril,2021-04-05,Lunes,20:15:00,Alcance,No guardó distancia,C4,Colonia,Sin nombre,Avenida,Industriales del pte,"25.685533571983505, -100.47326556561237",
39,2021,Abril,2021-04-05,Lunes,20:18:00,Alcance,No guardó distancia,C4,Colonia,Sin nombre,Avenida,Industriales del pte,"25.685533571983505, -100.47326556561237",
