 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
111,2021,ENERO,2021-01-05,2021-01-05 00:00:00,16:35:00,CHOQUE LATERAL,SIN DAÑOS,C4/911,CIUDAD,FAISAN,CALLE,CARRETERA NACIONAL KM 259,"25.506617174582754, -100.19371285823165",
153,2021,ENERO,2021-01-05,2021-01-05 00:00:00,02:25:00,INVACIÓN DE CARRIL,SIN DAÑOS,C4/911,CIUDAD,CENTRO DE SANTIAGO,CALLE,FCO I MADERO,"25.369601555288234, -100.11183917331746",
140,2021,ENERO,2021-01-06,2021-01-06 00:00:00,04:00:00,CHOQUE DE CRUCERO,SIN DAÑOS,C4/911,CIUDAD,BARRIAL,CALLE,ZARAGOZA,"25.47476855693738, -100.19239675690392",
112,2021,ENERO,2021-01-07,2021-01-07 00:00:00,13:25:00,ESTRELLAMIENTO ALCANCE,SIN DAÑOS,C4/911,CIUDAD,LOS FIERROS,CALLE,CARR NACIONAL KM 240,"25.361808634976725, -100.10064499303955",
181,2021,ENERO,2021-01-09,2021-01-09 00:00:00,07:05:00,SALIDA DE CARPETA (ESTRELLAMIENTO),SIN DAÑOS,C4/911,CIUDAD,SAN MATEO,CARRETERA,CARR LOS CAVAZOS,"25.46738961555565, -100.09469014759921",
182,2021,ENERO,2021-01-10,2021-01-10 00:00:00,16:15:00,SALIDA DE CARPETA (VOLCADURA),SIN DAÑOS,C4/911,CIUDAD,SAN JOSE,CALLE,CARR NACIONAL KM 244,"25.397923125871934, -100.12801582973907",
3250,2021,ENERO,2021-01-19,2021-01-19 00:00:00,20:01:00,TIPO DIVERSO,SIN DAÑOS,C4/911,ZONA FEDERAL,CARR NACIONAL KM 246,CARRETERA,KILOMETRO 246,"25.391043321544792, -100.11937999101838",
152,2021,ENERO,2021-01-21,2021-01-21 00:00:00,17:00:00,ATROPELLO,SIN DAÑOS,C4/911,CIUDAD,SAN FRANCISCO,CALLE,GALEANA,"25.368248346735847, -100.10842743888354",
150,2021,ENERO,2021-01-22,2021-01-22 00:00:00,17:30:00,CORTE DE CIRCULACIÓN,SIN DAÑOS,C4/911,CIUDAD,LOS FIERROS,CALLE,CARR NACIONAL KM 240,"25.360009648721086, -100.09906763185434",
169,2021,ENERO,2021-01-23,2021-01-23 00:00:00,09:02:00,CORTE DE CIRCULACIÓN,SIN DAÑOS,C4/911,CIUDAD,CARR COLA DE CABALLO,CARRETERA,KILOMETRO 13,"25.359840177067028, -100.16405692734675",
163,2021,ENERO,2021-01-26,2021-01-26 00:00:00,12:45:00,ESTRELLAMIENTO CON OBJETO FIJO,SIN DAÑOS,C4/911,CIUDAD,EL CERCADO,CALLE,EUTIMIO SILVA,"25.40116514504706, -100.13221518702335",
213,2021,ENERO,2021-01-27,2021-01-27 00:00:00,11:51:00,DIVERSO DE REVERSA,SIN DAÑOS,C4/911,CIUDAD,EL CERCADO,CALLE,CARR NACIONAL KM 245,"25.4023631533951, -100.13254766764067",
184,2021,ENERO,2021-01-27,2021-01-27 00:00:00,10:10:00,CORTE DE CIRCULACIÓN,SIN DAÑOS,C4/911,CIUDAD,EL CERCADO,CALLE,EUTIMIO SILVA,"25.40099059876641, -100.13255596874097",
148,2021,ENERO,2021-01-27,2021-01-27 00:00:00,21:10:00,FRONTAL,SIN DAÑOS,C4/911,CIUDAD,LOS RODRIGUEZ,CALLE,JUAREZ,"25.478153690770593, -100.17278810315221",
