Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
CT05,2021,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,No Dato,66600.0,"Lunes, Martes, Miercoles, Jueves, Viernes, Sabado y Domingo",24 Hrs.,24 Hrs.,Lamadas de Emergencia,34745.0,911,"25.781950296363476, -100.18043402056054",
CT05,2021,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,No Dato,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Licencia de Manejo (Mayores de 18 Años),3.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",sabados de 09:00 hrs. a 13:00 hrs.
CT05,2021,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,No Dato,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Permiso Para Estacionamiento Exclusivo,0.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",sabados de 09:00 hrs. a 13:00 hrs.
CT05,2021,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,No Dato,66602.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Quejas y Denuncias de la SSPV,5.0,8117722050 ext. 2108,"25.781950296363476, -100.18043402056054",sabados de 09:00 hrs. a 13:00 hrs.
CT05,2021,Julio-Septiembre,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Licencia de Manejo (Jóvenes de 16 a 18 Años),3.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",Sabados de 09:00 hrs. a 13:00 hrs.
CT05,2021,Julio-Septiembre,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Permiso para circular por zona restrigida,3.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",Sabados de 09:00 hrs. a 13:00 hrs.
CT05,2021,Julio-Septiembre,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66602.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Quejas y Denuncias de la SSPV,3.0,8117722050 ext. 2108,"25.781950296363476, -100.18043402056054",Sabados de 09:00 hrs. a 13:00 hrs.
CT05,2022,Enero-Marzo,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Permiso para circular por zona restrigida,3.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",Sabados de 09:00 hrs. a 13:00 hrs.
CT05,2022,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Permiso para Circular Sin Placas,0.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",Obtención de Permiso para circular sin placas  cancelados a partir del 2009 a  Enero del 2021
CT05,2022,Abril-Junio,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Salida de Vehículos detenidos por infracciones,3.0,8117722050 ext. 2105,"25.781950296363476, -100.18043402056054",Sabados de 09:00 hrs. a 13:00 hrs.
CT05,2022,Julio-Septiembre,Centro Apodaca,Colonia,Moderno Apodaca,Calle,Garza García,Sin Numero,Sin Numero,66600.0,"Lunes, Martes, Miercoles Jueves, Viernes y Sabado.",08:00 hrs.,17:00 hrs.,Licencias de Manejo para Extranjeros. (mayores de 18 años de edad),3.0,8117722050 ext. 2106,"25.781950296363476, -100.18043402056054",
