Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
NO DATO,2021,ENERO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ENERO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ENERO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ENERO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,FEBRERO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ABRIL,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ABRIL,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ABRIL,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JUNIO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JUNIO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JULIO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JULIO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JULIO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,SEPTIEMBRE,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,SEPTIEMBRE,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,SEPTIEMBRE,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,SEPTIEMBRE,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,OCTUBRE,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,NOVIEMBRE,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,DICIEMBRE,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,DICIEMBRE,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,FEBRERO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,FEBRERO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MARZO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MARZO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MARZO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MARZO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ABRIL,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,ABRIL,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MAYO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MAYO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MAYO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,MAYO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JUNIO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,JUNIO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,AGOSTO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",,8124-5000,,
NO DATO,2021,AGOSTO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,,8124-5000,,
NO DATO,2021,AGOSTO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",,8124-5000,,
NO DATO,2021,OCTUBRE,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2021,NOVIEMBRE,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,17:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,NOVIEMBRE,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,17:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2021,NOVIEMBRE,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2021,DICIEMBRE,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,17:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ENERO,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,18:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ENERO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ENERO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,FEBRERO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2022,FEBRERO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,18:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,FEBRERO,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,MARZO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,18:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ABRIL,DIRECCION DE PREVENCION DEL DELITO,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,18:00:00,"ATENCION DE ORIENTACION Y TERAPIA PSICOLOGIA PARA PERSONA POR VIOLENCIA FAMILAR.
ORIENTACION Y TERAPIA PSICOLOGINA EN GENERAL.
ORIENTACION LEGAL.
ATENCION CIUDADANA POR HECHOS ILICITOS.
ACUERDOS ENTRE PARTICULARES.
ATENCION A MENORES EN CONFLICTO CON LA LEY.",7,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ABRIL,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,18:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ABRIL,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,18:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,ABRIL,DEPARTAMENTO DE PERITAJES,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,LIBERACION DE VHEICULOS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,MAYO,DIRECCION JURIDICA,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,LUNES-VIERNES,09:00:00,18:00:00,ATENCION A QUEJAS CIUDADANAS A FUNCIONARIOS PUBLICOS Y ELEMENTOS POLICIALES.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,MAYO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
NO DATO,2022,MAYO,DEPARTAMENTO DE LICENCIAS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADOS",09:00:00,18:00:00,PERMISOS PARA LICENCIAS.,1,8124-5000,"25.785116, -100.579235",
NO DATO,2022,JUNIO,DEPARTAMENTO DE PERMISOS,EDIFICIO,C-COP,BOULEVARD,HEBERTO CASTILLO MARTINEZ,2000,S/N,66000,"LUNES-VIERNES
SABADO",09:00:00,18:00:00,"PERMISOS DE TRAFICO PESADO.
PERMISOS POR DAÑOS MUNICIPALES.
PERMISOS PARA ABANDERAMIENTOS DE OBRAS.
EXCLUSIVOS RESIDENCIALES.
EXCLUSIVOS COMERCIALES.
EXCLUSIVOS PARA DISCAPACITADOS",6,8124-5000,"25.785116, -100.579235",
