Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
ASUNTOS INTERNOS-2,2021,Abril-Junio,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Atención a quejas contra Servidores Públicos,,8182869200 ext 1154,"25.807091322581545, -100.35482778029235",08:00 a 18:00
SEGURIDAD CIUDADANA-4,2021,Abril-Junio,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Peticiones de Patrullaje y Vigilancia,,8182869200 ext 1145,"25.807091322581545, -100.35482778029235",08:00 a 18:00
ACADEMIA-5,2021,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Reclutamiento y Selección de personal,,8120650890,"25.807091322581545, -100.35482778029235",08:00 a 18:00
PREV-1,2021,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Atencion a Victimas,,8120650887,"25.807091322581545, -100.35482778029235",08:00 a 18:00
ASUNTOS INTERNOS-2,2021,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Atención a quejas contra Servidores Públicos,,8182869200 ext 1154,"25.807091322581545, -100.35482778029235",08:00 a 18:00
SEGURIDAD CIUDADANA-3,2021,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Liberación de vehículos,,8182869200 ext 1145,"25.807091322581545, -100.35482778029235",08:00 a 18:00
SEGURIDAD CIUDADANA-4,2021,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Peticiones de Patrullaje y Vigilancia,,8182869200 ext 1145,"25.807091322581545, -100.35482778029235",08:00 a 18:00
PREV-1,2021,Abril-Junio,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Atencion a Victimas,,8120650887,"25.807091322581545, -100.35482778029235",08:00 a 18:00
SEGURIDAD CIUDADANA-3,2021,Abril-Junio,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Liberación de vehículos,,8182869200 ext 1145,"25.807091322581545, -100.35482778029235",08:00 a 18:00
ACADEMIA-5,2021,Abril-Junio,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Reclutamiento y Selección de personal,,8120650890,"25.807091322581545, -100.35482778029235",08:00 a 18:00
SEGURIDAD CIUDADANA-4,2022,Enero-Marzo,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Peticiones de Patrullaje y Vigilancia,,8182869200 ext 1145,"25.807091322581545, -100.35482778029235",08:00 a 18:00 y sabados de 08:00 a 12:00
ASUNTOS INTERNOS-2,2022,Octubre-Diciembre,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Atención a quejas contra Servidores Públicos,,8182869200 ext 1154,"25.807091322581545, -100.35482778029235",08:00 a 18:00 y sabados de 08:00 a 12:00
TRÁNSITO-6,2022,Octubre-Diciembre,,Corporación,Parque Industrial,Avenida,Las Torres,401,Sin Número,66062,Lunes a Sabado,08:00:00,18:00:00,Liberación de vehículos,,8134571441,"25.807091322581545, -100.35482778029235",08:00 a 18:00 y sabados de 08:00 a 12:00
