Numero_de_identificacion,Ejercicio,Mes,Nombre_del_modulo,Tipo_de_asentamiento,Nombre_de_asentamiento,Tipo_de_vialidad,Nombre_de_la_vialidad,Numero_exterior,Numero_interior,Codigo_postal,Dias,Horario_de_apertura,Horario_de_cierre,Servicios,Numero_de_servicios,Telefono_de_contacto,Georreferencia,Nota
No dato,2021,Octubre-Diciembre,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2021,Abril-Junio,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2021,Abril-Junio,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2022,Enero-Marzo,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2022,Julio-Septiembre,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2022,Julio-Septiembre,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2022,Octubre-Diciembre,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2023,Enero-Marzo,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2021,Enero-Marzo,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2022,Enero-Marzo,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2022,Abril-Junio,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2022,Octubre-Diciembre,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2021,Octubre-Diciembre,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2021,Julio-Septiembre,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2021,Julio-Septiembre,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
No dato,2021,Enero-Marzo,Parque Alamey,Colonia,Del Norte,Avenida,Ladron de Guevara,sin numero,sin numero,64500,"Lunes, martes, miercoles, jueves, viernes, sabado, domingo",00:00:01,23:59:00,"Informacion de detenidos, liberacion de vehiculos",2,81259400,"25.71223109994516, -100.30337300071015","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Parque Alamey."
No dato,2022,Abril-Junio,Transito,Colonia,Morelos,Avenida,Abraham Lincoln,300,sin numero,64330,"Lunes, martes, miercoles, jueves, viernes, sabado",08:00:00,18:00:00,"Tramite de licencia, pago de refrendo, pago de multas e infracciones, entrega de licencia detenidas",4,83050900,"25.717094985871054, -100.35173592765345","No se cuenta con modulos de atención, podrá realizar los tramites directamente en la dependencia ubicada en Tránsito de Monterrey"
