 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
1026001 y 1026002,2021,Enero-Marzo,Colonia,"Centro,  Parque  San Francisco",Calle,"Treviño #720,  Centro",Si,Si,No,Si,Si,Si,22,"25.778712936477863, -100.19800943212758",
05048010 folio  27711,2021,Enero-Marzo,Colonia,"Centro, Parque  Fundadores",Calle,Camino al Ojo de Agua,Si,Si,Si,Si,No,Si,25,"25.773572498923084, -100.21744377425522",
04096002  folio 16115 y 04096003  folio16116,2021,Enero-Marzo,Colonia,"Las Margaritas, Parque  Hda. Las Margaritas",Avenida,"Av. Acapulco sin número, Hda. Las margaritas",No,Si,Si,No,No,Si,23,"25.714371993258382, -100.15251396841741",
28130001  folio 23948,2021,Enero-Marzo,Colonia,"Prados de la Cieneguita, Parque  Cieneguita",Calle,"Liberia #543, Prados  de  la  Cieneguita",No,No,No,No,No,Si,14,"25.784375443394634, -100.25403496321327",
04096002  folio 16115 y 04096003  folio16116,2021,Abril-Junio,Colonia,"Las Margaritas, Parque  Hda. Las Margaritas",Avenida,"Av. Acapulco sin número, Hda. Las margaritas",No,Si,Si,No,No,Si,23,"25.714371993258382, -100.15251396841741",
08007001   folio  32500,2021,Abril-Junio,Colonia,"Mezquital, Parque  Mezquital",Tierra,"Fco. Elizondo y Antonio  I. Villarreal, s/n,Mezquital",No,Si,Si,Si,No,Si,14,"25.75983389439394, -100.23759566427997",
P-2,2021,Octubre-Diciembre,Colonia,Agua Fria,Avenida,Morelos,No,Si,No,No,No,Si,2,"25.81373651421746, -100.15181673282967",
P-3,2021,Octubre-Diciembre,Colonia,Alamos,Calle,Alameda,No,No,No,Si,No,No,0,"25.73630547605509, -100.18645582315676",
P-4,2021,Octubre-Diciembre,Colonia,Alamos,Calle,Alameda,No,Si,Si,No,No,No,0,"25.734889609948908, -100.18714246865046",
P-5,2021,Octubre-Diciembre,Colonia,Alamos del Parque,Calle,Aldama,No,Si,Si,No,No,No,0,"25.735191499963648, -100.18749472346559",
P-9,2021,Octubre-Diciembre,Colonia,Amarantos,Calle,Silo,No,Si,No,Si,No,No,0,"25.824070668193098, -100.25676491093557",
P-11,2021,Octubre-Diciembre,Colonia,Valle de las Bugambilias,Calle,Lirio,No,Si,No,No,No,No,0,"25.79332442608414, -100.26354291857868",
P-12,2021,Octubre-Diciembre,Colonia,Quinta Colonial,Calle,Jose Luis Cuevas,No,Si,No,No,No,Si,2,"25.79960216462737, -100.21659618786857",
P-14,2021,Octubre-Diciembre,Colonia,Antigua Santa Rosa,Calle,Santa Julia,No,Si,No,No,No,Si,2,"25.790538908817005, -100.22672938321894",
P-22,2021,Octubre-Diciembre,Colonia,Arboledas de Santa Rosa,Calle,Ebano,Si,Si,No,No,No,Si,2,"25.81508586209917, -100.2419483737498",
P-26,2021,Octubre-Diciembre,Colonia,Artemio Treviño,Calle,Clavel,No,Si,No,No,No,No,0,"25.83881194549339, -100.14760683110232",
P-27,2021,Octubre-Diciembre,Colonia,Balcones de Huinala,Calle,Templanza,Si,Si,Si,Si,No,Si,2,"25.739038850997012, -100.1682318577379",
P-28,2021,Octubre-Diciembre,Colonia,Balcones de Huinala,Calle,Salado de Utan,Si,Si,No,No,No,No,0,"25.73864924104648, -100.16750199498453",
P-29,2021,Octubre-Diciembre,Colonia,Balcones del Mezquital,Calle,Rugo,No,Si,No,No,No,No,0,"25.75356272553166, -100.23794188180784",
P-32,2021,Octubre-Diciembre,Colonia,Bosque Real,Calle,Oyamel,No,Si,No,Si,No,Si,2,"25.781710241486763, -100.24422094275707",
P-33,2021,Octubre-Diciembre,Colonia,Bosque Real,Calle,Alamo,No,Si,No,No,No,No,0,"25.784502498533413, -100.24328618426706",
P-34,2021,Octubre-Diciembre,Colonia,Bosque Real,Calle,Alamo,No,Si,No,Si,No,No,0,"25.78574783366628, -100.24291496492691",
P-35,2021,Octubre-Diciembre,Colonia,Bosques de Huinala,Calle,Bosques de Francia,No,Si,No,Si,No,Si,5,"25.74995606346912, -100.16945868500487",
P-36,2021,Octubre-Diciembre,Colonia,Bosques de San Miguel,Calle,Bosques de San miguel,Si,Si,Si,Si,No,No,0,"25.70469773263543, -100.14260730813947",
P-40,2021,Octubre-Diciembre,Colonia,Colinas de San Miguel,Calle,San Rafael,Si,Si,Si,Si,No,No,0,"25.72139162356047, -100.17052482061851",
P-42,2021,Octubre-Diciembre,Colonia,Complejo laredo,Calle,Carretera Laredo,No,Si,No,No,No,No,0,"25.82046042917083, -100.26070949583203",
P-53,2021,Octubre-Diciembre,Colonia,Ebanos,Calle,Pirul,No,Si,No,Si,No,Si,4,"25.78298015304178, -100.23928878069309",
P-54,2021,Octubre-Diciembre,Colonia,Ebanos,Calle,Ahilite,No,Si,Si,Si,No,Si,0,"25.777717889016284, -100.24170291047025",
P-55,2021,Octubre-Diciembre,Colonia,Ebanos,Calle,Ombu,No,Si,No,Si,No,Si,4,"25.779462600095822, -100.23797388013503",
