 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0004,2022,ENERO,FRACCIONAMIENTO,REAL DE LINCOLN,AVENIDA,DOMINICANO,SI,SI,NO,SI,NO,SI,12,"25.810121, -100.543186",
MGNL0006,2022,ENERO,FRACCIONAMIENTO,ALTAVILLA,AVENIDA,ALTAVILLA,SI,SI,NO,SI,NO,SI,3,"25.790265, -100.520419",
MGNL0009,2022,ENERO,FRACCIONAMIENTO,SANTA MARIA SECTOR SANTA REGINA,CALLE,SANTA REGINA,SI,SI,NO,SI,NO,SI,2,"25.779504, -100.497705",
MGNL0010,2022,ENERO,FRACCIONAMIENTO,SANTA MARIA SECTOR SANTA VERONICA,CALLE,SANTA VERONICA,SI,SI,SI,SI,NO,NO,3,"25.779403, -100.496066",
MGNL0011,2022,ENERO,FRACCIONAMIENTO,SANTA MARIA RESIDENCIAL SAN GABRIEL,CALLE,SAN GABRIEL,SI,SI,NO,SI,NO,NO,0,"25.783044, -100.489009",
MGNL0017,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 2,CALLE,BAUXITA,SI,SI,NO,SI,NO,SI,2,"25.792431, -100.482032",
MGNL0024,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 9,CALLE,VALLE CEREZO,SI,SI,NO,SI,NO,SI,1,"25.794948, -100.493472",
MGNL0028,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR K2,CALLE,VALLE DE LA LUNA,SI,SI,NO,SI,NO,SI,3,"25.797873, -100.480013",
MGNL0036,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN AGUSTIN,CALLE,IMPERIAL Y HACIENDA,SI,SI,NO,SI,NO,NO,0,"25.800559, -100.465471",
MGNL0038,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR FRAILE,CALLE,SAN AGUSTIN Y STA LUCIA,SI,SI,NO,SI,NO,NO,0,"25.795012, -100.475591",
MGNL0043,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR STA LUCIA,CALLE,SAN FERNANDO Y SAN ROBERTO,SI,SI,SI,SI,NO,SI,2,"25.794652, -100.476062",
MGNL0047,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN JOSE,CALLE,PLAZA LAS RUINAS,NO,SI,NO,SI,NO,SI,4,"25.798838, -100.459022",
MGNL0049,2022,ENERO,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR SAN AGUSTIN,CALLE,VIRREY E IMPERIAL,NO,NO,SI,SI,NO,SI,1,"25.798767, -100.459597",
MGNL0059,2022,ENERO,FRACCIONAMIENTO,LOS PARQUES DIAMANTE,CALLE,DIAMANTE CULIÑAN,SI,SI,NO,SI,NO,SI,1,"25.790452, -100.473652",
MGNL0064,2022,ENERO,FRACCIONAMIENTO,VERANDA SECTOR VERSALLES,CALLE,AV VERANDA,SI,SI,SI,NO,NO,SI,3,"25.780797, -100.467481",
MGNL0069,2022,ENERO,FRACCIONAMIENTO,MITRAS BICENTENARIO SECTOR INSURGENTES,CALLE,NUEVO LEON,SI,SI,SI,SI,NO,SI,5,"25.782708, -100.459043",
MGNL0075,2022,ENERO,FRACCIONAMIENTO,CUMBRES ANDARA SECTOR STA LUCIA,CALLE,CAMARGO,SI,SI,SI,NO,NO,SI,2,"25.767206, -100.434942",
MGNL0076,2022,ENERO,FRACCIONAMIENTO,CUMBRES ANDARA SECTOR ALPES,CALLE,CUMBRES DE TINDAYA,SI,SI,SI,SI,SI,SI,4,"25.775076, -100.456926",
MGNL0079,2022,ENERO,FRACCIONAMIENTO,LAS LOMAS SECTOR JARDINES,CALLE,JARDIN DE LAS LOMAS,SI,SI,SI,SI,SI,SI,8,"25.76546, -100.436776",
MGNL0080,2022,ENERO,FRACCIONAMIENTO,LAS LOMAS PRIVADA DIAMANTE,CALLE,AV DIAMANTE,SI,SI,SI,SI,SI,SI,4,"25.767433, -100.435309",
MGNL0086,2022,ENERO,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR GUADALCAZAR,CALLE,CAÑON DEL GUAJUCO Y CAÑON STA CRUZ,SI,SI,SI,SI,SI,SI,2,"25.77656, -100.42725",
MGNL0087,2022,ENERO,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR BOLIVAR,CALLE,SIERRA PAPAGAYOS Y SIERRA MAURICIO,SI,SI,SI,SI,SI,SI,1,"25.779052, -100.427766",
MGNL0092,2022,ENERO,FRACCIONAMIENTO,MITRAS PONIENTE SECTOR JORDAN,CALLE,LAGO CHOLULA,SI,SI,SI,SI,SI,SI,3,"25.7868952, -100.426266",
MGNL0101,2022,ENERO,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR RIOS,CALLE,RIOS LERMA,SI,SI,SI,SI,SI,SI,6,"25.799994, -100.429924",
MGNL0102,2022,ENERO,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR FLORES,CALLE,VIOLETAS,SI,SI,SI,SI,SI,SI,7,"25.796603, -100.428551",
MGNL0103,2022,ENERO,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR AVES,CALLE,ALONDRA,SI,SI,SI,SI,NO,SI,22,"25.798212, -100.432789",
MGNL0105,2022,ENERO,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR BOSQUES,CALLE,EPINOZO,SI,SI,NO,SI,SI,NO,0,"25.799004, -100.440458",
MGNL0109,2022,ENERO,FRACCIONAMIENTO,PARAJE SAN JOSE SECTOR MONTAÑAS,CALLE,MONTE IBERICO,SI,SI,NO,SI,SI,SI,5,"25.805536, -100.433686",
MGNL0114,2022,ENERO,FRACCIONAMIENTO,VALLE DE LAS GRUTAS 3 SECTOR,CALLE,VALLE DE TEXCOCO,SI,SI,NO,NO,NO,SI,4,"25.799197, -100.438398",
MGNL0116,2022,ENERO,FRACCIONAMIENTO,VALLE DE LAS GRUTAS 4 SECTOR,CALLE,VALLE DE APAN,NO,SI,NO,NO,NO,SI,5,"25.803677, -100.442752",
