 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Veracruz calle Priv. Catemaco,si,si,no,si,no,no,0,"25.847361, -100.398333",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Michoacán calle la Piedad,si,si,no,si,no,si,1,"25.847528, -100.382308",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Puerta del Sol Calle Chemac,si,si,no,no,no,si,1,"25.845628, -100.404085",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Puerta del Sol  Calle Merida,si,si,no,no,no,no,0,"25.844062, -100.402946",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Avenida,Barrio Guerrero Privada Cautepec,no,no,no,no,no,no,0,"25.846024, -100.386434",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Avenida,Barrio Guerrero Privada Atoyac Y Av. Revolucion,no,no,no,no,no,no,0,"25.846917, -100.386385",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Avenida,Barrio Jalisco Privada Tequila Y Av. Revolucion,no,no,no,no,no,no,0,"25.84726, -100.386622",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Avenida,Barrio Guanajuato Privada Salvatierra Y Av. Revolucion,no,no,no,no,no,no,0,"25.845602, -100.390082",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Hidalgo Privada San Juan De Los Lagos,no,no,no,no,no,no,0,"25.848602, -100.387539",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Puebla Privada Jalpan,no,no,no,no,no,no,0,"25.848632, -100.391036",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Puebla Privada Puebla,no,no,no,no,no,no,0,"25.849666, -100.388004",
,2021,Enero-Marzo,Fraccionamiento habitacional,Alianza Real,Calle,Barrio Campeche Privada Candelaria,no,no,no,no,no,no,0,"25.843784, -100.390253",
