 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
PARQUE ACUÁTICO BENITO JUÁREZ,2021,ENERO-MARZO,COLONIA,INFONAVIT BENITO JUAREZ,CALLE,FRANCISCO MARQUEZ SIN NUMERO ENTRE MARCELINO JUÁREZ Y PLATEROS,NO,NO,NO,NO,NO,SI,2,"25.70227, -100.190523",EL PARQUE CUNTA CON 1 ALBERCA PARA ADULTOS Y 1 CHAPOTEADERO
3,2021,ENERO-MARZO,COLONIA,VALLE DE TORREMOLINOS,CALLE,TORRE DE CERREDO Y TORRE DEL MAR,SI,SI,SI,SI,NO,SI,2,"25.728182045143168, -100.20275694367757",
4,2021,ENERO-MARZO,COLONIA,CRISTALES 3er Sector,CALLE,OCEANO PACIFICO Y COBALTO,NO,SI,SI,SI,NO,SI,2,"25.728931469734437, -100.20081848153852",
10,2021,ENERO-MARZO,COLONIA,EDUERADO CBALLERO,CALLE,NORA QUINTANA Y JOAQUIN HERNADEZ,NO,SI,SI,SI,NO,SI,3,"25.72903274956226, -100.1961666228672",
12,2021,ENERO-MARZO,COLONIA,EDUERADO CBALLERO,CALLE,"EMILIO GONZALEZ, FIDEL VELAZQUES",NO,SI,NO,SI,NO,SI,2,"25.72666659228572, -100.19402592506523",
13,2021,ENERO-MARZO,COLONIA,EDUERADO CBALLERO,CALLE,"NORA QINTANA, JOSE OVALLE",NO,SI,SI,NO,NO,NO,0,"25.725622906457428, -100.19590746059853",
17,2021,ENERO-MARZO,COLONIA,ZOZAYITA,AVENIDA,MIXCOAC Y URUGUAY,NO,SI,NO,SI,NO,NO,0,"25.724316903149298, -100.18066180043445",
19,2021,ENERO-MARZO,COLONIA,CAÑADA BLANCA,CALLE,CHILCHIHUITLES Y TEPETONGO,NO,SI,NO,SI,NO,SI,4,"25.7259957894671, -100.18706289633262",
23,2021,ENERO-MARZO,COLONIA,REAL DE SAN MIGUEL,CALLE,"GOMEZ FARIAS, JOSE CLEMENTE OROZCO",SI,SI,SI,SI,NO,SI,3,"25.721439139853405, -100.19865867084098",
24,2021,ENERO-MARZO,COLONIA,INFONAVIT BENITO JUAREZ,CALLE,DE LA PAZ Y MATEO A. SAENZ,SI,SI,SI,SI,NO,NO,0,"25.719171260343295, -100.1957369324608",
25,2021,ENERO-MARZO,COLONIA,INFONAVIT BENITO JUAREZ,CALLE,HUMBERTO LOZANO Y JOSE OVALLE MORALES,NO,SI,SI,SI,NO,SI,3,"25.71613896728288, -100.1958771067417",
26,2021,ENERO-MARZO,COLONIA,PRIVADA SAN FERNANDO,CALLE,CATEDRAL CASTILLA Y HACIENDA SAN MIGUEL,NO,SI,NO,NO,NO,SI,1,"25.719456119303914, -100.19411742211584",
28,2021,ENERO-MARZO,COLONIA,HACIENDA SAN MIGUEL,CALLE,LA ACEQUIA Y LOS CORRALES,NO,SI,SI,NO,NO,SI,3,"25.721512473438736, -100.19458246960123",
32,2021,ENERO-MARZO,COLONIA,HACIENDA SAN MIGUEL,CALLE,LOS EBANOS Y LA HUERTA,NO,SI,SI,SI,NO,SI,7,"25.722020034619085, -100.19209119380884",
36,2021,ENERO-MARZO,COLONIA,BALCONES DE SAN MIGUEL,CALLE,CALLE 5 Y CALLE 8,SI,SI,SI,SI,NO,SI,20,"25.718257650186306, -100.18513213680001",
39,2021,ENERO-MARZO,COLONIA,MIXCOAC,CALLE,HABICHUELA Y CACAHUATE,NO,SI,NO,SI,NO,NO,0,"25.711963677573866, -100.18395151445065",
41,2021,ENERO-MARZO,COLONIA,COLONIAL SAN MIGUEL,AVENIDA,AV. BALCONES DE SAN MIGUEL Y COLONIAL LOS ENCINOS,NO,SI,SI,SI,NO,SI,3,"25.71118670434129, -100.18741070114672",
43,2021,ENERO-MARZO,COLONIA,RESIDENCIAL MAYA,CALLE,PASEO MAYA Y LUNA MAYA,NO,SI,SI,NO,NO,SI,4,"25.707207548753647, -100.1873315537183",
46,2021,ENERO-MARZO,COLONIA,RESIDENCIAL MAYA,CALLE,VALLE SAGRADA (ENTRADA LADO IZQUIERDO),NO,NO,NO,NO,NO,NO,0,"25.708637320576223, -100.18597632566365",
51,2021,ENERO-MARZO,COLONIA,JARDINES DE CASA BLANCA,CALLE,PADRE MARIA SANTA VIVIA Y MANUEL NEGRETE,NO,SI,SI,SI,NO,SI,2,"25.699945916619445, -100.18906922552509",
59,2021,ENERO-MARZO,COLONIA,LA CONDESA,AVENIDA,AV. CONDESA Y BARAJAS,NO,SI,SI,SI,NO,SI,3,"25.697547481102582, -100.159154049334",
62,2021,ENERO-MARZO,COLONIA,PRIVADA SAN MIGUEL,CALLE,LOSADA Y ESTEO,NO,SI,NO,NO,NO,NO,0,"25.70091434607437, -100.16015502673149",
64,2021,ENERO-MARZO,COLONIA,PRIVADA SAN MIGUEL,CALLE,PITA Y ROMERO,NO,NO,NO,NO,NO,NO,0,"25.701278235800476, -100.16260908401561",
74,2021,ENERO-MARZO,COLONIA,RECIDENCIAL BELLO AMANECER,AVENIDA,AV. BELLO AMANECER Y JARDIN DE LAS MAGNOLIAS,SI,SI,NO,NO,NO,SI,4,"25.697597725722567, -100.13517489431301",
75,2021,ENERO-MARZO,COLONIA,RECIDENCIAL BELLO AMANECER,CALLE,VALLE DE LAS AUCUBAS Y VALLE DE LAS VIOLETAS,NO,NO,NO,SI,NO,SI,2,"25.69737244036337, -100.13331023182556",
80,2021,ENERO-MARZO,COLONIA,HACIENDA LOS ENCINOS,CALLE,SAN PEDRO Y SAN IGNACIO,NO,SI,NO,NO,NO,NO,0,"25.708778974481532, -100.20386074288736",
81,2021,ENERO-MARZO,COLONIA,HACIENDA LOS ENCINOS,CALLE,SAN PEDRO E INGLATERRA,NO,SI,NO,NO,NO,SI,1,"25.710270302984238, -100.2038511916733",
83,2021,ENERO-MARZO,COLONIA,PEDREGAL DE LINDA VISTA,CALLE,NOTTHINHAM Y WATERFORD,SI,SI,SI,SI,NO,SI,3,"25.711221410022166, -100.20199644747399",
85,2021,ENERO-MARZO,COLONIA,PEDREGAL DE LINDA VISTA,CALLE,WINCHESTER Y GLASLOW,NO,SI,SI,SI,NO,SI,5,"25.713836634352685, -100.2032488385343",
88,2021,ENERO-MARZO,COLONIA,LAS DALIAS,AVENIDA,AV. LAS DALIAS Y FILABRES,NO,SI,NO,SI,NO,NO,0,"25.715638517800937, -100.20121327381565",
89,2021,ENERO-MARZO,COLONIA,LAS DALIAS,AVENIDA,AV. LAS DALIAS Y ADRA,NO,NO,NO,NO,NO,SI,1,"25.717854057318014, -100.20319398820476",
91,2021,ENERO-MARZO,COLONIA,RESIDENCIAL SAN ANTONIO,CALLE,"NORTE, PONIENTE Y SUR",NO,SI,NO,NO,NO,NO,0,"25.71136056513493, -100.2053315940743",
95,2021,ENERO-MARZO,COLONIA,PRIVADAS DE LINDA VISTA,CALLE,FORTIN Y LINDERO,NO,SI,NO,NO,NO,NO,0,"25.712357121875577, -100.20758561412288",
100,2021,ENERO-MARZO,COLONIA,VILLA DE SAN MIGUEL,CALLE,DEL ALTILLO Y DEL YUGO,NO,SI,NO,NO,NO,SI,3,"25.710247927416063, -100.2128700974062",
101,2021,ENERO-MARZO,COLONIA,VILLA DE SAN MIGUEL,CALLE,PILASTRA Y ALTILLO,NO,SI,SI,SI,NO,SI,3,"25.709121253207762, -100.21240491857556",
102,2021,ENERO-MARZO,COLONIA,VILLA DE SAN MIGUEL,CALLE,DEL YUGO Y DEL PROVINCIAL,NO,SI,SI,SI,NO,SI,4,"25.707310671328035, -100.21156193634393",
104,2021,ENERO-MARZO,COLONIA,LA VICTORIA,CALLE,PROF. GERMANALMARAZ Y PROF. ALBERTO SANCHEZ,NO,SI,NO,NO,NO,NO,0,"25.705945034591863, -100.22143967960557",
106,2021,ENERO-MARZO,COLONIA,JARDINES DE SAN RAFAEL,CALLE,EBANO Y SAUCE,SI,SI,NO,SI,NO,SI,2,"25.697443766226005, -100.21998031299299",
112,2021,ENERO-MARZO,COLONIA,SAN RAFAEL,CALLE,CIRCUNVALACION Y 16 DE SEPTIEMBRE,NO,SI,NO,SI,NO,SI,2,"25.69494293159443, -100.20715327897686",
114,2021,ENERO-MARZO,COLONIA,SAN RAFAEL,CALLE,BENITO JUAREZ Y EMILIANO ZAPATA,NO,SI,SI,SI,NO,SI,3,"25.69340596147854, -100.20415578819797",
119,2021,ENERO-MARZO,UNIDAD HABITACIONAL,VILLA ESPAÑOLA,CALLE,PENNINSULA IBERICA Y GIBRALTAR,NO,SI,NO,NO,NO,NO,0,"25.701005410489067, -100.2105663613101",
123,2021,ENERO-MARZO,COLONIA,AVANTE 2da ETAPA,CALLE,CONTEMPORANEO Y PREMIER,NO,SI,NO,NO,NO,NO,0,"25.717786919159618, -100.19283332401393",
124,2021,ENERO-MARZO,COLONIA,JARDINES DEL RIO,CALLE,JARDINES DEL RIO Y BRIGIDA GARCIA,NO,SI,NO,NO,NO,NO,0,"25.70074900918204, -100.18675920199101",
128,2021,ENERO-MARZO,UNIDAD HABITACIONAL,VILLA ESPAÑOLA,CALLE,CASTILLA Y NAVARRA,NO,SI,NO,NO,NO,SI,2,"25.698639420167808, -100.21056324439655",
129,2021,ENERO-MARZO,COLONIA,VALLE SOLEADO,CALLE,"VALLE DEL MIRADOR, VALLE ALEGRE",NO,SI,NO,NO,NO,SI,1,"25.703165155022457, -100.16580369330767",
133,2021,ENERO-MARZO,COLONIA,REFORMA,CALLE,PABLO A. DE LA GARZA Y SANTIAGO VIDAURRI,NO,SI,NO,NO,NO,SI,3,"25.669631062453675, -100.1331429731676",
135,2021,ENERO-MARZO,COLONIA,31 DE DICIEMBRE,CALLE,FRANCISCO VILLA Y ISRAEL CAVAZOS,NO,NO,NO,SI,NO,NO,0,"25.66984187224775, -100.1379011918004",
136,2021,ENERO-MARZO,COLONIA,TAMAULIPAS,CALLE,REYNOSA Y FRANCISCO VILLA,SI,SI,SI,NO,SI,SI,9,"25.664795600297904, -100.1410276376156",
138,2021,ENERO-MARZO,COLONIA,NUEVO TAMAULIPAS,CALLE,FRANCISCO VILLA Y SAN MATEO,NO,SI,NO,NO,NO,SI,2,"25.672579361469452, -100.137146753995",
140,2021,ENERO-MARZO,COLONIA,PUERTA DEL SOL,CALLE,SAN MATEO Y SAN JUAN BAUTISTA,NO,NO,NO,NO,NO,NO,0,"25.671710071251145, -100.14009361957976",
144,2021,ENERO-MARZO,COLONIA,EVOLUCION,CALLE,SAN PEDRO BERNAL Y LA CARDONA,NO,NO,NO,NO,NO,SI,1,"25.67068656850457, -100.14589972207922",
146,2021,ENERO-MARZO,COLONIA,C.N.O.P,CALLE,SENEM RAMIREZ Y AGUSTIN DE LA O,SI,SI,NO,SI,NO,SI,3,"25.665746508966045, -100.14562561882616",
149,2021,ENERO-MARZO,COLONIA,NUEVO LEON,AVENIDA,AV.NUEVO LEON Y CHINA,NO,SI,SI,SI,NO,SI,11,"25.659646310557065, -100.15012661178194",
153,2021,ENERO-MARZO,COLONIA,PASEO DE GUADALUPE,CALLE,ZUBIA Y BORJA,NO,SI,NO,NO,NO,SI,5,"25.65452012109803, -100.16432247569476",
157,2021,ENERO-MARZO,COLONIA,PASEO DE GUADALUPE,AVENIDA,AV.DEL BOSQUE Y PRIEGO,NO,NO,NO,NO,NO,NO,0,"25.654075920363763, -100.16500675515503",
158,2021,ENERO-MARZO,COLONIA,PASEO DE GUADALUPE,CALLE,URCAL Y ADRA,NO,SI,NO,SI,NO,NO,0,"25.654296527756838, -100.16327706474273",
159,2021,ENERO-MARZO,COLONIA,PASEO DE GUADALUPE,CALLE,VERA Y OLVERA,NO,SI,SI,NO,NO,SI,3,"25.655182186205295, -100.16103962020428",
164,2021,ENERO-MARZO,COLONIA,PASEO DE GUADALUPE,AVENIDA,AV.PASEO DE GUADALUPE Y ARZA,NO,SI,SI,NO,NO,NO,0,"25.653138270607826, -100.16143134553751",
167,2021,ENERO-MARZO,COLONIA,VALLES DEL SOL,CALLE,DEL BOSQUE Y VERDON,NO,NO,NO,NO,NO,NO,0,"25.65099262686841, -100.16677241209491",
