 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
1,2021,ENERO-MARZO,COLONIA,FRACCIONAMIENTO SAN FRANCISCO,calle,SAN ABRAHAIN ENTRE SANTA ADELAIDA Y SANTA ALICIA,SI,SI,SI,NO,NO,NO,0,"25.6231903, -100.1262901",
2,2021,ENERO-MARZO,COLONIA,FRACCIONAMIENTO SAN FRANCISCO,calle,"SAN BARTOLOME ENTRE SAN BENITO , Y SANTA BERENICE",SI,SI,SI,NO,NO,NO,0,"25.6232352, -100.1271682",
3,2021,ENERO-MARZO,COLONIA,FRACCIONAMIENTO SAN FRANCISCO,calle,SAN ANTONIO  Y SAN FLAUTIN,SI,SI,SI,SI,NO,NO,0,"25.6200722, -100.1283762",
4,2021,ENERO-MARZO,COLONIA,FRACCIONAMIENTO SAN FRANCISCO,calle,SANTA CONSTANZA ENTRE SANTA CARMEN Y SANTA AMALIA,SI,SI,SI,NO,NO,NO,0,"25.6202352, -100.1291212",
7,2021,ENERO-MARZO,COLONIA,SANTA MONICA,calle,SAN ISIDRO Y SANTO TOMAS,NO,SI,NO,SI,NO,NO,0,"25.6167475, -100.1756552",
12,2021,ENERO-MARZO,COLONIA,VILLAS DE LA HACIENDA,calle,HDA. SAN FELIPE Y SAN VALENTIN,SI,SI,NO,NO,NO,NO,0,"25.6356462, -100.1633412",
13,2021,ENERO-MARZO,COLONIA,VILLAS DE LA HACIENDA,calle,HDA. SAN ALSENMO Y SAN FRANCISCO,SI,SI,NO,NO,NO,NO,0,"25.6347972, -100.1641442",
16,2021,ENERO-MARZO,COLONIA,SIERRA VISTA,calle,SIERRA MOJADAY SIERRA ZACATECAS,SI,SI,NO,NO,NO,SI,1,"25.6379462, -100.1659872",
17,2021,ENERO-MARZO,COLONIA,VILLAS DE LA HACIENDA,calle,HACIENDA SAN PASCUAL Y SAN PATRICIO,SI,SI,NO,NO,NO,NO,0,"25.6378272, -100.1604982",
24,2021,ENERO-MARZO,COLONIA,FRACCIONAMIENTO SANTA MONICA,calle,SAN CARLOS Y SAN DIEGO,NO,SI,NO,NO,NO,NO,0,"25.6111402, -100.1703602",
25,2021,ENERO-MARZO,COLONIA,VALLE DE REAL,calle,VALLE CORTES Y VALLE OCASO,SI,NO,NO,SI,NO,NO,0,"25.6109652, -100.1658302",
29,2021,ENERO-MARZO,COLONIA,LOS COMETAS,calle,SEDNA Y URANO,SI,NO,NO,SI,NO,NO,0,"25.6094722, -100.1560572",
31,2021,ENERO-MARZO,COLONIA,Portal de vaquerías,Calle,San Rafael,NO,SI,NO,SI,NO,NO,0,"25.6392245, -100.147523",
33,2021,ENERO-MARZO,COLONIA,Los Reyes,Calle,Alberto I,SI,SI,NO,NO,NO,NO,0,"25.6434582, -100.1466292",
34,2021,ENERO-MARZO,COLONIA,Los Reyes,Calle,Felipe II,SI,SI,NO,NO,NO,NO,0,"25.6438982, -100.1463222",
35,2021,ENERO-MARZO,COLONIA,Los Reyes,Calle,Luis Eduardo III,SI,NO,SI,NO,NO,NO,0,"25.6446062, -100.1459972",
46,2021,ENERO-MARZO,COLONIA,Villa Luz,Calle,Pablo Livas,NO,SI,NO,SI,NO,NO,0,"25.6429295, -100.11997",
51,2021,ENERO-MARZO,COLONIA,Villa Luz,Avenida,Av. Villa Luz,NO,NO,NO,SI,NO,NO,0,"25.6391112, -100.1202612",
53,2021,ENERO-MARZO,COLONIA,Fraccionamiento San Juan,Calle,Hector Espino,SI,SI,NO,NO,NO,SI,3,"25.6472042, -100.1143142",
54,2021,ENERO-MARZO,COLONIA,Fraccionamiento San Juan,Calle,Lic. Jesus Treviño,SI,SI,NO,NO,NO,SI,4,"25.6480882, -100.1161372",
56,2021,ENERO-MARZO,COLONIA,Paseo del Prado,Calle,Paseo de las Bugambilias,SI,NO,SI,SI,NO,NO,0,"25.6502542, -100.1170122",
57,2021,ENERO-MARZO,COLONIA,Monteverde,Calle,Monte Alban,SI,SI,SI,SI,NO,SI,5,"25.6473102, -100.1567802",
58,2021,ENERO-MARZO,COLONIA,Monteverde,Calle,Monte Olimpo,NO,NO,NO,SI,NO,NO,0,"25.6482222, -100.1507162",
61,2021,ENERO-MARZO,COLONIA,TERRANOVA,CALLE,EL SABINAL ENTRE MAPIMI Y SIERRA DE LA LAGUNA,SI,NO,NO,NO,NO,NO,0,"25.6714152, -100.1073432",
63,2021,ENERO-MARZO,COLONIA,TERRANOVA,CALLE,EL SABINAL ENTRE RIO MANTARO Y RIO LUNAS,SI,SI,NO,SI,NO,NO,0,"25.6630622, -100.1081602",
67,2021,ENERO-MARZO,COLONIA,LOS PUERTOS,CALLE,PUERTO CORTES ENTRE PUERTO ANTONIO Y PUERT SANTOS,SI,SI,NO,SI,NO,NO,0,"25.6955782, -100.1125952",
71,2021,ENERO-MARZO,COLONIA,LOMAS DE ANZURES,CALLE,LOMA BONITA ENTRE LOMA MIRADOR Y LOMA GRANDE,SI,SI,NO,NO,NO,NO,0,"25.6872022, -100.1005842",
74,2021,ENERO-MARZO,COLONIA,LOS CANTAROS,CALLE,AV. LOS CANTAROS ENTRE PALOMA Y GUADALAJARA,SI,SI,NO,NO,NO,NO,0,"25.6312082, -100.1177932",
75,2021,ENERO-MARZO,COLONIA,LOS CANTAROS,CALLE,AV. MISION ENTRE PASEO SAN DIEGO Y SAN BERNABE,NO,SI,NO,SI,NO,NO,0,"25.6356632, -100.1150182",
77,2021,ENERO-MARZO,COLONIA,FUENTES DE JUAREZ,CALLE,FUENTE BIZANTINA ENTRE FUENTE GRIEGA Y FUENTE LATINA,SI,NO,NO,NO,NO,NO,0,"25.6428902, -100.1093592",
79,2021,ENERO-MARZO,COLONIA,FUENTES DE JUAREZ,CALLE,FUENTE ANILLADA ENTRE FUENTE ROMANA SUR Y FUENTE DE CAPITEL,SI,SI,NO,NO,NO,NO,0,"25.6419042, -100.1061952",
80,2021,ENERO-MARZO,COLONIA,JARDINES DE VILLA JUAREZ,CALLE,SANTA FE ENTRE ALEJANDRO GARZA LEAL Y VIOLETA,SI,SI,NO,SI,NO,SI,7,"25.6403632, -100.1045082",
86,2021,ENERO-MARZO,COLONIA,RIBERAS DE LA MORENA,CALLE,AV. PASEO SAN JUAN RIBERAS DE LOS ALBA Y RIBERAS DE LOS SALINAS,SI,SI,NO,NO,NO,NO,0,"25.6487622, -100.0715052",
90,2021,ENERO-MARZO,COLONIA,VILLAS DE SAN JUAN,CALLE,MAGNOLIA ENTRE ALCATRAZ Y ALHELI,NO,SI,NO,SI,NO,NO,0,"25.6551292, -100.0794642",
95,2021,ENERO-MARZO,COLONIA,CENTRO DE JUAREZ,CALLE,GRAL. IGNACIO ZARAGOZA ENTRE LI. BENITO JUAREZ 5 MAYO Y FRANCISCO J. MINA,SI,NO,NO,NO,NO,SI,12,"25.6466872, -100.0913112",
98,2021,ENERO-MARZO,COLONIA,PRADERAS DE SAN JUAN,CALLE,MADRID ENTRE VIGO Y SANTIAGO,SI,SI,NO,NO,NO,SI,2,"25.6752462, -100.0889282",
100,2021,ENERO-MARZO,COLONIA,PRADERAS DE SAN JUAN,CALLE,TOLEDO ENTRE BARCELONA Y SORIA,SI,NO,NO,SI,NO,NO,0,"25.6794652, -100.0919632",
101,2021,ENERO-MARZO,COLONIA,UBIVILLA,CALLE,MINA GRANDE ENTRE AGAT Y AV. METAL,SI,SI,NO,NO,NO,NO,0,"25.6842852, -100.0875282",
103,2021,ENERO-MARZO,COLONIA,PRADERAS DE SAN JUAN,CALLE,VALLADOLID ENTRE VALENCIA Y MADRID,SI,SI,NO,NO,NO,NO,0,"25.6715912, -100.0867552",
109,2021,ENERO-MARZO,COLONIA,PEDREGAL DE SANTA MONICA,CALLE,TOPACIO,SI,SI,NO,SI,NO,NO,0,"25.6251612, -100.1792432",
112,2021,ENERO-MARZO,COLONIA,VALLE REAL,AVENIDA,AVENIDA VALLE REAL,SI,SI,NO,SI,NO,SI,8,"25.6097772, -100.1614702",
