 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,29,Residencial Apodaca,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.792631343744446, -100.18317457978247",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,19,Triana,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.800999199578794, -100.17384962516195",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,24,Nova Apodaca,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.790288967996467, -100.18325928829428",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,16,Privada Capellania,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.786718282271583, -100.20335140470476",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,6,Prados De Santa Rosa,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.805876522212017, -100.22816122489147",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,5,Privada De Santa Rosa,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.809762680449367, -100.22868988650694",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,4,Paseo De Santa Rosa,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.821026884519494, -100.22891557811906",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,37,Portal De Santa Rosa,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.824223462935766, -100.23587916640386",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,7,Paseo De Apodaca,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.813289516981072, -100.24732734916958",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
Z1,2021,Abril-Junio,Red Recolector S.A de C.V,36,Jardines De Monterrey,Vespertino,"Lunes, Miercoles y Viernes",12:30:00,17:00:00,"25.814907432324695, -100.26029788618997",En caso de detectar alguna irregularidad favor de reportarla al siguiente numero: 8117722020
