 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
1,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,431,"ANTONIO VILLALON, LAS HADAS",MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.40044871508084, -100.12385042121943",
6,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,426,CARRETERA NACIONAL,MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.419351838571107, -100.1433479885821",
7,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,311,"LOS ENCINOS, GARZA MADERO, RAUL CABALLERO,HECTOR CABALLERO.",MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.380178364049154, -100.10917797323994",
9,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,382,"BARRIAL, CAVAZOS.",MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.470467861313576, -100.1879522930314",
15,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,317,MALEAÑOS,MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.37975463800784, -100.12077332005404",
16,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,450,"PLAZA OCAMPO, LA CIENEGUILLA",MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.394012704168556, -100.13925376072541",
18,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,426,CARRETERA NACIONAL NORTE A SUR,MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.36036875699118, -100.10536058858278",
20,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,425,"YERBANIZ, EL FAISAN,CARRETERA NACIONAL.",MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.495988163465196, -100.18091376292283",
24,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,381,"CONALEP , FIERROS, BOSQUES DE SAN JOSE .",MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.36286736810169, -100.10289392513104",
29,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,374,"PLAZA HIDALGO,CIENEGUILLA,TALLERES,SAN JOSE, BOSQUES DE LAS LOMAS.",MATUTINO Y VESPERTINO,MIERCOLES,7:00am,8:30pm,"25.36036875699118, -100.10536058858278",
36,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,381,"SAN JAVIER, SANTA ROSALIA",MATUTINO Y VESPERTINO,MEIRCOLES,7:00am,8:30pm,"25.393926940469637, -100.13251627994843",
41,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,374,"PLAZA HIDALGO, VALLE DORADO,  JARDINES POLEOS.",MATUTINO Y VESPERTINO,JUEVES,7:00am,8:30pm,"25.427029964809282, -100.15345094440367",
46,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,450,"ALAMEDA, PESCADORES,  LOMAS DEL CERCADO",MATUTINO Y VESPERTINO,JUEVES,7:00am,8:30pm,"25.406303039445604, -100.14721202711566",
48,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,381,"SIERRA CADA 15 DIAS,CUMBRES DE SANTIAGO",MATUTINO Y VESPERTINO,JUEVES,7:00am,8:30pm,"25.378277782374806, -100.11978248672932",
2,2021,ENERO-MARZO,DIRECTAMENTE MUNICIPIO,375,"VILLA DE SANTIAGO, CONCEPCION SLAZAR.",MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.42548177101387, -100.15117764807438",
50,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,375,VILLA DE SANTIAGO,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.42458624540795, -100.15123632965243",
5,2021,ENERO-MARZO,DIRECTAMENTE MUNICIPIO,374,VILLA DE SANTIAGO,MATUTINO Y VESPERTINO,LUNES,7:00am,8:30pm,"25.362845888677846, -100.11715200154424",
55,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,311,LA BOCA,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.448633685007852, -100.15522875416187",
14,2021,ENERO-MARZO,DIRECTAMENTE MUNICIPIO,375,SAN JOSE,MATUTINO Y VESPERTINO,MARTES,7:00am,8:30pm,"25.360359062073865, -100.10527475789755",
60,2021,ABRIL-JUNIO,DIRECTAMENTE MUNICIPIO,381,CERCADO,MATUTINO Y VESPERTINO,VIERNES,7:00am,8:30pm,"25.431298118927394, -100.15287199656552",
