 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
1-1475,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,1-1475,NUEVO RENACIMIENTO,Matutino y Vespertino,LUNES,7:00,18:00,"25.807106, -100.633931",
2-2095,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,2-2095,SANTA LUCIA,Matutino y Vespertino,LUNES,7:00,18:00,"25.821949, -100.63112",
3-1125,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,3-1125,VILLANOVA,Matutino y Vespertino,LUNES,7:00,18:00,"25.820705, -100.617718",
4-1591,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,4-1591,EJIDO ICAMOLE,Matutino y Vespertino,LUNES,7:00,18:00,"25.916751, -100.713557",
4-1591,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,4-1591,CERRITOS,Matutino y Vespertino,LUNES,7:00,18:00,"25.825464, -100.608839",
4-1591,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,4-1591,LOS ENCINOS,Matutino y Vespertino,LUNES,7:00,18:00,"25.82458, -100.589602",
6-1422,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,6-1422,COLINAS DEL RIO,Matutino y Vespertino,LUNES,7:00,18:00,"25.805292, -100.609108",
7-1353,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,7-1353,AMPLIACION LOS NOGALES 1,Matutino y Vespertino,LUNES,7:00,18:00,"25.802018, -100.600709",
8-1710,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,8-1710,VALLES DEL MIRADOR,Matutino y Vespertino,LUNES,7:00,18:00,"25.795923, -100.605139",
9-1455,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,9-1455,SAN MARTIN,Matutino y Vespertino,LUNES,7:00,18:00,"25.802098, -100.587697",
9-1455,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,9-1455,MORELOS,Matutino y Vespertino,LUNES,7:00,18:00,"25.802547, -100.591072",
9-1455,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,9-1455,BENITO JUAREZ,Matutino y Vespertino,LUNES,7:00,18:00,"25.800804, -100.588368",
9-1455,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,9-1455,REAL DE VILLAS DE GARCIA,Matutino y Vespertino,LUNES,7:00,18:00,"25.801054, -100.596407",
10-1600,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,10-1600,NUEVO AMANECER,Matutino y Vespertino,LUNES,7:00,18:00,"25.797974, -100.591811",
10-1600,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,10-1600,LAS VILLAS,Matutino y Vespertino,LUNES,7:00,18:00,"25.798172, -100.59215",
10-1600,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,10-1600,PASEO DEL NOGAL,Matutino y Vespertino,LUNES,7:00,18:00,"25.795312, -100.591791",
11-1355,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,11-1355,PASEO DE LAS MINAS,Matutino y Vespertino,LUNES,7:00,18:00,"25.799483, -100.579116",
14-1447,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,14-1447,SIERRA REAL 1ER SECTOR,Matutino y Vespertino,LUNES,7:00,18:00,"25.786174, -100.584008",
16-1178,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,16-1178,VILLAS DEL ALCALI,Matutino y Vespertino,LUNES,7:00,18:00,"25.783716, -100.572047",
18-2094,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,18-2094,HEROES DE CAPELLANIA SECTOR VALLE,Matutino y Vespertino,LUNES,7:00,18:00,"25.790569, -100.561072",
18-2094,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,18-2094,HEROES DE CAPELLANIA SECTOR RIO,Matutino y Vespertino,LUNES,7:00,18:00,"25.791209, -100.554879",
20-1553,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,20-1553,LOS ARCANGELES,Matutino y Vespertino,LUNES,7:00,18:00,"25.804196, -100.63712",
20-1553,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,20-1553,PRIVADAS OASIS,Matutino y Vespertino,LUNES,7:00,18:00,"25.813356, -100.616363",
1-1475,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,1-1475,MISION SAN JUAN,Matutino y Vespertino,MARTES,7:00,18:00,"25.783524, -100.465322",
2-2095,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,2-2095,PARAJE SAN JOSE SECTOR LAS MONTAÑAS,Matutino y Vespertino,MARTES,7:00,18:00,"25.805358, -100.433594",
2-2095,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,2-2095,PARAJE SAN JOSE SECTOR PECES,Matutino y Vespertino,MARTES,7:00,18:00,"25.805472, -100.429059",
3-1125,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,3-1125,VALLE DE LINCON 4 SECTOR,Matutino y Vespertino,MARTES,7:00,18:00,"25.794602, -100.493778",
4-1591,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,4-1591,MITRAS PONIENTE SECTOR TOLEDO,Matutino y Vespertino,MARTES,7:00,18:00,"25.788089, -100.421731",
5-1500,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,5-1500,MITRAS PONIENTE SECTOR LEONES,Matutino y Vespertino,MARTES,7:00,18:00,"25.781102, -100.427138",
6-1422,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,6-1422,VALLE DE LINCOLN SEC. ELITE SUR,Matutino y Vespertino,MARTES,7:00,18:00,"25.788435, -100.493521",
6-1422,2021,ENERO,PROMOTORA AMBIENTAL DE LA LAGUNA S.A. DE C.V.,6-1422,SANTA MARIA SECTOR SANTA SUSANA,Matutino y Vespertino,MARTES,7:00,18:00,"25.781071, -100.495082",
