 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
Z-1.1,2021,Enero - Marzo,Red S.A.C.V,CTE-17,JARDINES ESCOBEDO,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.7998, -100.31821",
Z-1.5,2021,Enero - Marzo,Red S.A.C.V,CTE-19,INSURGENTES,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77655, -100.32059",
Z-1.7,2021,Enero - Marzo,Red S.A.C.V,CTE-21,NEXXUS CRISTAL,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.76889, -100.31115",
Z-1.7,2021,Enero - Marzo,Red S.A.C.V,CTE-21,NEXXUS PLATINO,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77478, -100.30978",
Z-1.8,2021,Enero - Marzo,Red S.A.C.V,CTE-23,TOPO GRANDE,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.78162, -100.31547",
Z-1.11,2021,Enero - Marzo,Red S.A.C.V,CTE-12,LOS RINCONES,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.790433, -100.310615",
Z-1.13,2021,Enero - Marzo,Red S.A.C.V,CTE-04,CALZ DE ANAHUAC,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.78987, -100.27523",
Z-1.14,2021,Enero - Marzo,Red S.A.C.V,CTE-03,PRIVADAS DEL CANADA,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.7901, -100.27345",
Z-1.15,2021,Enero - Marzo,Red S.A.C.V,CTE-22,CERRADAS DE ANAHUAC,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77253, -100.27391",
Z-1.15,2021,Enero - Marzo,Red S.A.C.V,CTE-22,CDA ANAHUAC SEC PREMIER,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77369, -100.2708",
Z-1.16,2021,Enero - Marzo,Red S.A.C.V,CTE-16,PRIV. TIBET,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77771, -100.277323",
Z-1.16,2021,Enero - Marzo,Red S.A.C.V,CTE-16,PRIV. NIZZA,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.775913, -100.276507",
Z-1.16,2021,Enero - Marzo,Red S.A.C.V,CTE-16,PRIVADA HIMALAYA,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77764, -100.27733",
Z-1.17,2021,Enero - Marzo,Red S.A.C.V,CTE-11,LA ENCOMIENDA,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77393, -100.28122",
Z-1.19,2021,Enero - Marzo,Red S.A.C.V,CTE-08,NEXXUS ZAFIRO,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77733, -100.31099",
Z-1.20,2021,Enero - Marzo,Red S.A.C.V,CTE-09,PRIVADAS DE ANAHUAC,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.77265, -100.27535",
Z-1.20,2021,Enero - Marzo,Red S.A.C.V,CTE-09,CENTENARIO,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.76896, -100.28715",
Z-1.20,2021,Enero - Marzo,Red S.A.C.V,CTE-09,LINDORA,Matutino,Lunes; Miercoles y Viernes,06:00:00,14:00:00,"25.7832, -100.27545",
Z-2.2,2021,Enero - Marzo,Red S.A.C.V,CTE-07,BALCONES DEL NORTE,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80805, -100.26238",
Z-2.4,2021,Enero - Marzo,Red S.A.C.V,CTE-04,LOS ALTOS,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.79542, -100.29012",
Z-2.4,2021,Enero - Marzo,Red S.A.C.V,CTE-04,PUERTAS DE ANAHUAC,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.79236, -100.28243",
Z-2.6,2021,Enero - Marzo,Red S.A.C.V,CTE-14,EMILIANO ZAPATA,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80484, -100.28948",
Z-2.7,2021,Enero - Marzo,Red S.A.C.V,CTE-22,EXHDAS DEL CANADA,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.78209, -100.28748",
Z-2.8,2021,Enero - Marzo,Red S.A.C.V,CTE-09,PROL. LÁZARO CÁRDENAS,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.78702, -100.29472",
Z-2.10,2021,Enero - Marzo,Red S.A.C.V,CTE-18,LAS HADAS,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.7856, -100.29521",
Z-2.15,2021,Enero - Marzo,Red S.A.C.V,CTE-21,LOS EUCALIPTOS,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80397, -100.32008",
Z-2.16,2021,Enero - Marzo,Red S.A.C.V,CTE-17,RESIDENCIAL SAN JORGE,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80216, -100.32503",
Z-2.16,2021,Enero - Marzo,Red S.A.C.V,CTE-17,LOS GIRASOLES,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.79649, -100.32446",
Z-2.17,2021,Enero - Marzo,Red S.A.C.V,CTE-02,FLORES MAGON,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80521, -100.32733",
Z-2.17,2021,Enero - Marzo,Red S.A.C.V,CTE-02,LAS QUINTAS 2,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.80535, -100.3259",
Z-2.18,2021,Enero - Marzo,Red S.A.C.V,CTE-06,PASO CUCHARAS,Vespertino,Lunes; Miercoles y Viernes,14:00:00,22:00:00,"25.81309, -100.35551",
Z-3.8,2021,Enero - Marzo,Red S.A.C.V,CTE-19,PORTAL NORTE,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.78014, -100.29157",
Z-3.8,2021,Enero - Marzo,Red S.A.C.V,CTE-19,LADERAS SAN MIGUEL,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.84347, -100.40714",
Z-3.9,2021,Enero - Marzo,Red S.A.C.V,CTE-21,PRIV. CAMINO REAL II,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.84023, -100.40014",
Z-3.10,2021,Enero - Marzo,Red S.A.C.V,CTE-14,PALMIRAS,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.82964, -100.41739",
Z-3.10,2021,Enero - Marzo,Red S.A.C.V,CTE-14,MONCLOVAS,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.82964, -100.41739",
Z-3.11,2021,Enero - Marzo,Red S.A.C.V,CTE-11,SAN MARCOS,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.7985, -100.40777",
Z-3.12,2021,Enero - Marzo,Red S.A.C.V,CTE-08,LA UNIDAD,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.79395, -100.41907",
Z-3.15,2021,Enero - Marzo,Red S.A.C.V,CTE-03,NVA ESPERANZA,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.79845, -100.39284",
Z-3.17,2021,Enero - Marzo,Red S.A.C.V,CTE-05,VALLE DE SAN FCO,Matutino,Martes; Jueves; Viernes,06:00:00,14:00:00,"25.80172, -100.39303",
Z-4.2,2021,Enero - Marzo,Red S.A.C.V,CTE-11,FOMERREY 36,Vespertino,Martes; Jueves; Viernes,14:00:00,22:00:00,"25.77338, -100.32737",
Z-4.3,2021,Enero - Marzo,Red S.A.C.V,CTE-14,FOMERREY 36,Vespertino,Martes; Jueves; Viernes,14:00:00,22:00:00,"25.77338, -100.32737",
Z-4.5,2021,Enero - Marzo,Red S.A.C.V,CTE-07,PROVILEON,Vespertino,Martes; Jueves; Viernes,14:00:00,22:00:00,"25.7838, -100.3331",
Z-4.5,2021,Enero - Marzo,Red S.A.C.V,CTE-07,SAN GENARO,Vespertino,Martes; Jueves; Viernes,14:00:00,22:00:00,"25.781613, -100.332661",
