 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,5,RINCON DE LA PURISIMA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.7103155, -100.2328999",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,6,ADOLFO PRIETO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.7013948, -100.258748",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,4,ARBOLEDAS DE NUEVA LINDA VISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.7106277, -100.2266201",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,14,AZTECA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6847896, -100.2440393",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15,AZTECA INFONAVIT,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6858899, -100.2316096",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,12,BENITO JUAREZ (EL POZO),MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6833278, -100.2568586",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31,CHULA VISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6768844, -100.2110597",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29,CONDOCASA LINDAVISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6775318, -100.2316085",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31,DOS DE JUNIO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6785874, -100.2132743",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,18,EL SABINO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.687651, -100.2320397",
