 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias,Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15.0,AZTECA INFONAVIT,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6858899, -100.2316096",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,12.0,BENITO JUAREZ (EL POZO),MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6833278, -100.2568586",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29.0,CERRADAS DE LINDA VISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6971303, -100.2439513",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31.0,COLIBRI,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6775328, -100.2162876",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,31.0,DOS DE JUNIO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6785874, -100.2132743",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,18.0,EL SABINO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.687651, -100.2320397",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,3.0,ESCAMILLA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6982063, -100.2622821",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,15.0,EXPOSICION MODELO,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6804652, -100.2376417",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,27.0,INDUSTRIAL JARDINES DE SAN RAFAEL,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6983345, -100.2224317",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29.0,INDUSTRIAL LAS AMERICAS,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.692959775582175, -100.24510685272791",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,27.0,INDUSTRIAL SAN RAFAEL,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.700866, -100.2201541",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,27.0,JARDINES DE SAN RAFAEL,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6983345, -100.2224317",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,11.0,JOSE MARIA MORELOS,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6903807, -100.2318908",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,14.0,LA FUENTE,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6804286, -100.2399051",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,25.0,LA HUERTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6826555, -100.2513084",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,16.0,LA ROSITA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6705658, -100.2319238",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,13.0,LAS QUINTAS,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6899917, -100.2135048",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,8.0,LINDA VISTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.693041, -100.2601901",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,29.0,LOLYTA,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6943461, -100.2536561",
I,2021,ENERO - MARZO,VEOLIA RESIDUOS NORTE S.A DE C.V,24.0,NUEVO SAN RAFAEL,MATUTINO,MARTES-JUEVES-SABADO,06:00:00,14:00:00,"25.6930458, -100.2112642",
