 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 1,Matutino,Miercoles Y Viernes,06:00:00,06:30:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z1,2021,Enero - Marzo,Red Recolector,Ctsn-25,El Mirador Fome 129,Matutino,Lunes,06:30:00,14:00:00,"25.761251, -100.32405",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 2,Matutino,Lunes,06:40:00,07:25:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 1,Matutino,Lunes,06:00:00,09:00:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 4,Matutino,Lunes,08:00:00,08:40:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 2,Matutino,Miercoles Y Viernes,06:30:00,07:10:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 5,Matutino,Lunes,08:40:00,09:30:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 3,Matutino,Lunes,07:25:00,08:00:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Colinas De Anahuac,Matutino,Lunes,09:00:00,09:30:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
Z2,2021,Enero - Marzo,Red Recolector,Ctsn-22,Balcones De Anahuac 3,Matutino,Miercoles Y Viernes,07:10:00,07:40:00,"25.761272, -100.315275",Las iniciales Ctsn  tienen por significado  Carga Trasera San Nicolas seguido por  el numero economico de la unidad . Cualquier reporte comunicarse al 8181581290
