 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
5,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Miguel Hidalgo,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6692394, -100.4272859","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
6,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",El Paraiso,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6594037, -100.4439471","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
7,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",El Aguacatal,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6604323, -100.4420181","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
8,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Ventanas A La Huasteca,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.656892, -100.4543367","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
11,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",29 De Julio,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6719114, -100.4593266","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
12,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Fracc. Industrial El Lechugal,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6697856, -100.4480909","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
14,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Rincon De La Huasteca,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6382434, -100.4768489","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
17,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Valle De Santa Cruz,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6728086, -100.4708249","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
18,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Efimec,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6693112, -100.4310204","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
19,2021,Enero-Marzo,Red Recolector,"CTS-01,                        CTS-02,                        CTS-03,                        CTS-04,                        CTS-05,                        CTS-06,                        CTS-07                          CTS-08                           CTS-09                           CTS-10                           CTS-11                           CTS-12",Infonavit Huasteca III,Matutino,"Lunes, Miercoles, Viernes",06:00:00,14:00:00,"25.6593668, -100.458928","Los números de camion no tienen una ruta en especifico, se rotan los camiones para recorrido por las colonias."
